source_tag,Symbol,Ensembl_Gene_ID,citation,doi,pmid,source_url,source_anchor,publication_status,evidence_type,assay_resolution,assay_gene_scope,tissue_context,finding,limitations,gene_specific_protein_validation,hla_peptide_validation,antigen_specific_t_cell_validation,reviewed_date,input_sha256,hash_scope
Amoushahi2020_targeted,NLRP9,ENSG00000185792,"Amoushahi et al., Journal of Assisted Reproduction and Genetics 2020",10.1007/s10815-020-01767-w,,https://doi.org/10.1007/s10815-020-01767-w,Table 1 and ovarian IHC,peer_reviewed,normal_ovarian_expression,gene_labelled_expression; locus specificity not established,NLRP9,See finding and source anchor,"Human ovarian follicles, oocytes and granulosa cells; reproductive expression, not tumor validation.","Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Human ovarian follicles, oocytes and granulosa cells; reproductive expression, not tumor validation.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Caballero2014_targeted,SSX4B,ENSG00000269791,"Caballero et al., Oncoscience 2014",10.18632/oncoscience.4,,https://doi.org/10.18632/oncoscience.4,First Results / Supplementary Figure 1,peer_reviewed,cancer_expression,gene_labelled_expression; locus specificity not established,SSX4B,See finding and source anchor,"SSX4B-labelled microarray signal in DCIS versus normal mammary samples; probe specificity versus SSX4 is unresolved. Online December 2013, collection 2014.","Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. SSX4B-labelled microarray signal in DCIS versus normal mammary samples; probe specificity versus SSX4 is unresolved. Online December 2013, collection 2014.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Gure2002_targeted,SSX7,ENSG00000187754,"Gure et al., International Journal of Cancer 2002",10.1002/ijc.10634,,https://doi.org/10.1002/ijc.10634,Abstract / SSX7 normal-tissue and melanoma-cell-line expression,peer_reviewed,CT_RNA,gene_labelled_expression; locus specificity not established,SSX7,See finding and source anchor,Historical small tissue panel; SSX7 in one of nine melanoma lines.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Historical small tissue panel; SSX7 in one of nine melanoma lines.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Kristensen2008_targeted,ZFP42,ENSG00000179059,"Kristensen et al., Human Reproduction 2008",10.1093/humrep/den010,,https://doi.org/10.1093/humrep/den010,Abstract / REX1 in gonadal development and germ-cell neoplasms,peer_reviewed,GC_tumor_RNA,gene_labelled_expression; locus specificity not established,ZFP42,See finding and source anchor,REX1/ZFP42 reproductive and germ-cell-neoplasm expression; does not cancel reported skin expression.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. REX1/ZFP42 reproductive and germ-cell-neoplasm expression; does not cancel reported skin expression.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Park2010_targeted,GAGE10,ENSG00000215274,"Park et al., Journal of Surgical Oncology 2010",10.1002/jso.21585,,https://doi.org/10.1002/jso.21585,Abstract Results / clone AI968311,peer_reviewed,cancer_expression,gene_labelled_expression; locus specificity not established,GAGE10,See finding and source anchor,Gene-labelled microarray RNA associated with copy-number change in gastric tumor AND normal tissue. Probe cross-reactivity unresolved; does not validate restriction.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Gene-labelled microarray RNA associated with copy-number change in gastric tumor AND normal tissue. Probe cross-reactivity unresolved; does not validate restriction.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Shukla2018_targeted,MAGEA2B,ENSG00000183305,"Shukla et al., Cell 2018",10.1016/j.cell.2018.03.026,,https://doi.org/10.1016/j.cell.2018.03.026,First Results / Figure 1 / Tables S1-S2,peer_reviewed,cancer_expression,gene_labelled_expression; locus specificity not established,MAGEA2B,See finding and source anchor,"MAGEA2B among eight melanoma CRMA expression-cluster genes. Gene-labelled RNA, with duplicated-locus attribution limitations.","Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. MAGEA2B among eight melanoma CRMA expression-cluster genes. Gene-labelled RNA, with duplicated-locus attribution limitations.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Song2022_targeted,SUN5,ENSG00000167098,"Song et al., Cancers 2022",10.3390/cancers14215368,,https://doi.org/10.3390/cancers14215368,Figure 1C-E,peer_reviewed,tumor_and_adjacent_tissue_protein_signal,gene_labelled_expression; locus specificity not established,SUN5,See finding and source anchor,Tumor and adjacent colorectal protein signal. Adjacent-tissue signal is a restriction concern.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Tumor and adjacent colorectal protein signal. Adjacent-tissue signal is a restriction concern.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Traynor2022_targeted,SSX7,ENSG00000187754,"Traynor et al., Frontiers in Oncology 2022",10.3389/fonc.2022.998000,,https://doi.org/10.3389/fonc.2022.998000,Figure 1A-C and first Results,peer_reviewed,cancer_expression,gene_labelled_expression; locus specificity not established,SSX7,See finding and source anchor,Melanoma gene-labelled RNA; SSX7 very low. SSX4 evidence is not transferred to SSX4B in this gene-level audit.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Melanoma gene-labelled RNA; SSX7 very low. SSX4 evidence is not transferred to SSX4B in this gene-level audit.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Traynor2022_targeted,SSX4,ENSG00000268009,"Traynor et al., Frontiers in Oncology 2022",10.3389/fonc.2022.998000,,https://doi.org/10.3389/fonc.2022.998000,Figure 1A-C and first Results,peer_reviewed,cancer_expression,gene_labelled_expression; locus specificity not established,SSX4,See finding and source anchor,Melanoma gene-labelled RNA; SSX7 very low. SSX4 evidence is not transferred to SSX4B in this gene-level audit.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Melanoma gene-labelled RNA; SSX7 very low. SSX4 evidence is not transferred to SSX4B in this gene-level audit.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Wollenzien2023_targeted,GAGE10,ENSG00000215274,"Wollenzien et al., Molecular Cancer Research 2023",10.1158/1541-7786.MCR-22-0881,,https://doi.org/10.1158/1541-7786.MCR-22-0881,Supplementary Table S7 / gene-labelled rows / publisher indexed table preview,peer_reviewed,cancer_expression,gene_labelled_expression; locus specificity not established,GAGE10,See finding and source anchor,Low RNA signal in human SCLC models. Publisher-indexed table inspected; original XLSX retrieval unavailable. Functional GAGE2A/PAGE5 validation is not transferred to these genes.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Low RNA signal in human SCLC models. Publisher-indexed table inspected; original XLSX retrieval unavailable. Functional GAGE2A/PAGE5 validation is not transferred to these genes.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
Wollenzien2023_targeted,GAGE12D,ENSG00000227488,"Wollenzien et al., Molecular Cancer Research 2023",10.1158/1541-7786.MCR-22-0881,,https://doi.org/10.1158/1541-7786.MCR-22-0881,Supplementary Table S7 / gene-labelled rows / publisher indexed table preview,peer_reviewed,cancer_expression,gene_labelled_expression; locus specificity not established,GAGE12D,See finding and source anchor,Low RNA signal in human SCLC models. Publisher-indexed table inspected; original XLSX retrieval unavailable. Functional GAGE2A/PAGE5 validation is not transferred to these genes.,"Targeted audited location, not a complete candidate list. No inferred HLA presentation or T-cell recognition. Low RNA signal in human SCLC models. Publisher-indexed table inspected; original XLSX retrieval unavailable. Functional GAGE2A/PAGE5 validation is not transferred to these genes.",False,False,False,2026-09-24,735186b89936df80e6c6182954a50bcec7fd1bd9d96b900531f02998f861ff40,"Prior reviewed source-cover audit JSON, not original paper bytes"
