Gene	H37-H37002-BG002179-ar-BG002179.quant.sf	H37-H37002-BG004281-ar-BG004281.quant.sf
AC004704.3	0	0
AC004706.1	0	0
AC004706.2	0	0
AC004706.3	2.472298	3.879937
AC004707.1	0.229553	0.227768
AC004765.1	0	0
AC004771.1	0.168524	0.489613
AC004771.2	0	0.167104
AC004771.3	0	0
AC004771.4	0.466345	0
AC004774.1	0	0
AC004774.2	0	0
AC004774.3	0	0
AC004775.1	0	0
AC004777.1	0	0
AC004784.1	0	0
AC004788.1	0	0
AC004790.1	0	0
AC004790.2	0	0
AC004792.1	0	0
AC004801.1	0	0
AC004801.2	0.067879	0
AC004801.3	0	0.076954
AC004801.4	0	0
AC004801.5	0	0
AC004801.6	0	0
AC004801.7	0	0
AC004803.1	0.937905	1.55832
AC004805.1	1.281652	1.568082
AC004805.2	0	0
AC004805.3	0	0
AC004808.1	0	0
AC004808.2	0	0
AC004812.1	0	0
AC004812.2	0	0.030952
AC004816.1	0	0
AC004816.2	0	0
AC004817.1	0	0
AC004817.2	0	0
AC004817.3	0	0
AC004817.4	0.022547	0
AC004817.5	0	0
AC004825.1	0	0
AC004825.2	0	0
AC004825.3	0	0
AC004828.1	0	0
AC004828.2	0	0
AC004830.1	0	0
AC004830.2	0	0
AC004832.1	0	0
AC004832.2	0	0
AC004832.3	1.293511	0.411715
AC004832.4	0	0
AC004832.5	0	0
AC004832.6	0	0
AC004834.1	0	0
AC004835.1	0	0
AC004836.1	0	0
AC004837.1	0	0.988787
AC004837.2	0	0
AC004837.3	0	0
AC004837.4	0	0
AC004839.1	0	0
AC004839.2	0	0
AC004840.1	0	0
AC004846.1	0.027115	0.082274
AC004846.2	0.204358	0.203282
AC004847.1	0	0
AC004852.1	0	0
AC004852.2	0	0
AC004852.3	0	0
AC004854.1	0	0
AC004854.2	0.751453	2.692897
AC004858.1	0	0
AC004862.1	0	0
AC004863.1	0	0
AC004865.1	0	0
AC004866.1	0	0
AC004866.2	0	0
AC004869.1	0	0
AC004869.2	0	0
AC004870.1	0	0
AC004870.2	0	0
AC004870.3	0	0
AC004870.4	0	0
AC004875.1	0	0
AC004877.1	0.128881	0.045172
AC004877.2	0	0
AC004879.1	0	0
AC004882.1	0	0
AC004882.2	0	0
AC004882.3	0.068119	0
AC004884.1	0	0
AC004884.2	0	0
AC004888.1	0	0
AC004890.1	0	0
AC004890.2	2.125933	1.745845
AC004890.3	0	0
AC004893.1	0	0
AC004893.2	0.138009	0
AC004895.1	0	0
AC004898.1	0	0
AC004899.1	0	0
AC004899.2	0	0
AC004900.1	0	0
AC004908.1	0	0
AC004908.2	0	0
AC004908.3	0	0
AC004910.1	0	0
AC004911.1	0	0
AC004912.1	0	0
AC004917.1	0	0
AC004918.1	2.965894	2.263582
AC004918.3	0	0
AC004920.1	0	0
AC004921.1	0	0
AC004921.2	0	0
AC004922.1	5.451684	10.717901
AC004923.1	0	0
AC004923.2	0	0
AC004923.3	0	0
AC004923.4	0	0
AC004925.1	0	0
AC004930.1	0	0
AC004936.1	0	0
AC004938.1	0	0
AC004938.2	0	0
AC004941.1	0	0
AC004941.2	0	0
AC004943.1	0	0
AC004943.2	1.080463	1.641585
AC004943.3	0	0
AC004944.1	0	0
AC004945.1	0	0
AC004946.1	0	0
AC004946.2	0	0
AC004947.1	0	0
AC004947.2	0.046943	0
AC004947.3	0	0
AC004948.1	0	0
AC004951.1	5.118117	6.40444
AC004951.2	0	0.422929
AC004951.3	0.322009	0.483402
AC004951.4	0.784598	0.708598
AC004965.1	0	0
AC004967.1	0	0
AC004967.2	2.116485	0.821144
AC004969.1	0	0
AC004972.1	0	0
AC004973.1	0	0
AC004974.1	0.013357	0
AC004975.1	0	0
AC004975.2	0	0
AC004980.1	6.46266	1.687111
AC004980.2	1.753076	0.399352
AC004980.3	0	0
AC004980.4	0	0
AC004982.1	0	0
AC004986.1	0	0
AC004987.1	0	0
AC004987.2	0	0
AC004987.3	0	0
AC004990.1	0	0
AC004997.1	0.104017	0.561957
AC005002.1	0	0
AC005005.1	0	0
AC005005.2	0	0
AC005005.3	0.321209	0.048455
AC005005.4	0.002334	0
AC005006.1	0	0
AC005008.1	0	0
AC005008.2	0	0
AC005009.1	0	0
AC005011.1	0	0
AC005013.1	0.102354	0
AC005014.1	0.013921	0.042234
AC005014.2	0	0
AC005014.3	0	0
AC005014.4	0	0
AC005019.1	0	0
AC005019.2	0	0
AC005020.1	0	0
AC005020.2	0	0
AC005021.1	0.258282	0
AC005034.1	0	0
AC005034.2	0	0
AC005034.3	0	0
AC005034.4	0	0
AC005034.5	1.812607	2.422766
AC005034.6	0	0.016587
AC005037.1	0.562827	0.411334
AC005040.1	0	0
AC005040.2	0	0
AC005041.1	0	0
AC005041.2	0	0
AC005041.3	0	0
AC005041.4	0.201121	0.454894
AC005041.5	0.050241	0
AC005042.1	0	0
AC005042.2	0	0
AC005045.1	0	0
AC005045.2	0	0
AC005046.1	0	0
AC005050.1	0	0
AC005050.2	0	0
AC005050.3	0	0
AC005052.1	0	0
AC005052.2	0.021448	0
AC005062.1	0	0
AC005064.1	0	0
AC005066.1	0	0
AC005070.1	0	0
AC005070.2	0	0
AC005070.3	0.031617	0
AC005071.1	0	0
AC005072.1	0.221004	0
AC005076.1	0	0
AC005076.2	0	3.186372
AC005077.1	0	0
AC005077.2	0.161042	0.119698
AC005077.3	0	0
AC005077.4	0.01172	0
AC005081.1	0	0
AC005082.1	0	0
AC005082.2	0	0
AC005083.1	0	0
AC005084.1	0	0
AC005086.1	0	0
AC005086.2	0	0
AC005086.3	0	0
AC005086.4	0	0
AC005086.5	0	0
AC005088.1	0	0
AC005089.1	0.151712	0
AC005090.1	0	0
AC005094.1	0	0
AC005096.1	0	0
AC005099.1	0	0
AC005100.1	0	0
AC005100.2	0	0
AC005102.1	0	0
AC005104.1	0	0
AC005104.2	0	0
AC005105.1	0	0
AC005144.1	0	0
AC005153.1	0	0
AC005154.1	0.899837	0
AC005154.2	3.557625	3.733579
AC005154.3	0.177576	0
AC005154.4	0	0
AC005154.5	0.169699	0
AC005156.1	0	0
AC005160.1	0	0
AC005162.1	0	0
AC005162.2	0	0
AC005165.1	0	0
AC005165.2	0	0
AC005165.3	0	0
AC005176.1	0	0
AC005176.2	0	0
AC005178.1	0	0
AC005180.1	0	0
AC005180.2	0	0
AC005181.1	0	0
AC005183.1	0	0
AC005185.1	0	0
AC005189.1	0	1.005056
AC005191.1	0	0
AC005192.1	4.395313	2.01882
AC005197.1	0	0
AC005208.1	0	0
AC005209.1	0	0
AC005220.1	0	0
AC005224.1	0	0
AC005224.2	0	0
AC005224.3	0	0.040377
AC005225.1	0	0
AC005225.2	6.184094	3.965074
AC005225.3	0	0
AC005225.4	0	0
AC005229.1	0	0
AC005229.2	0	0
AC005229.3	0.348744	0.234727
AC005229.4	0	0
AC005230.1	0	0
AC005232.1	0	0
AC005234.1	0	0
AC005234.2	0	0
AC005237.1	0	0
AC005244.1	2.286164	0
AC005244.2	0	0
AC005252.1	0	0
AC005252.2	0	0
AC005252.3	0	0
AC005252.4	0	0
AC005253.1	0	0
AC005253.2	0	0
AC005255.1	3.767906	8.288359
AC005256.1	0	0
AC005258.1	6.464191	3.845855
AC005258.2	0	0
AC005261.1	0.427933	0.66447
AC005261.2	0	0
AC005261.3	0	0
AC005261.4	0	0
AC005261.5	0	0
AC005262.1	0	0
AC005262.2	0.31932	0
AC005264.1	0	0.082996
AC005274.1	0	0
AC005277.1	2.054403	0.841061
AC005277.2	0	0
AC005280.1	0.081016	0
AC005280.2	0	0
AC005280.3	0	0.432607
AC005281.1	0	0
AC005288.1	0	0
AC005291.1	0	0
AC005291.2	0	0.363128
AC005293.1	0	0
AC005294.1	0	0
AC005296.1	0	0
AC005297.1	0	0
AC005297.2	0	0
AC005297.3	0	0
AC005301.1	0	0
AC005301.2	0	0
AC005303.1	0	0
AC005304.1	0	0
AC005304.2	0	0
AC005304.3	0	0
AC005306.1	6.145578	7.870353
AC005307.1	0	0
AC005323.1	0	0
AC005323.2	0	0.200083
AC005324.1	0	0
AC005324.2	0.012054	0.084844
AC005324.3	14.066559	12.38904
AC005324.4	0.107194	0.316209
AC005324.5	0	0
AC005326.1	0	0
AC005329.1	0.126002	0.320108
AC005329.2	0	0
AC005329.3	0	0
AC005330.1	0	0
AC005332.1	0.245328	0.158464
AC005332.2	0	0
AC005332.3	0	0
AC005332.4	0.140217	0
AC005332.5	0.899784	0.393119
AC005332.6	4.48827	2.779136
AC005332.7	0	0
AC005336.1	2.090195	1.461603
AC005336.2	0	0
AC005336.3	0	0
AC005339.1	2.730083	1.817822
AC005341.1	0	0
AC005342.1	0	0
AC005342.2	0	0
AC005343.1	0	0
AC005343.4	0	0
AC005344.1	0	0
AC005345.1	0	0
AC005351.1	0.536408	0.200158
AC005355.1	0	0
AC005355.2	0	0
AC005357.1	0	0
AC005357.2	0	0
AC005358.1	0.088783	0
AC005363.1	0	0
AC005363.2	0	0
AC005377.1	0	0
AC005379.1	0	0
AC005381.1	0	0
AC005383.1	0	0
AC005387.1	0	0
AC005387.2	0	0
AC005391.1	0	0
AC005392.1	0	0
AC005392.2	0	0
AC005392.3	0	0
AC005393.1	0.103454	0
AC005394.1	0	0
AC005394.2	0	0
AC005400.1	0	0.088853
AC005410.1	0.281413	0
AC005410.2	0.941013	0.22274
AC005412.1	0	0
AC005414.1	0	0
AC005476.1	0	0
AC005476.2	0	0
AC005479.1	0.102083	0
AC005479.2	0	0
AC005480.1	0.052143	0.102252
AC005480.2	0	0
AC005481.1	0.189773	0.072014
AC005482.1	0	0
AC005486.1	0	0
AC005487.1	0	0
AC005495.1	0	0
AC005498.1	0	0
AC005498.2	0	0
AC005498.3	0	0
AC005514.1	0	0
AC005515.1	0	0
AC005518.1	0	0
AC005518.2	0	0
AC005519.1	0	0.100481
AC005520.1	0.181757	0.15842
AC005520.2	0	0
AC005520.3	33.107697	10.205679
AC005520.4	0	0
AC005520.5	1.151158	0.967929
AC005521.1	0	0
AC005522.1	0	0
AC005523.1	0	0
AC005523.2	0.02293	0
AC005524.1	0	0
AC005529.1	0	0
AC005531.1	0	0
AC005532.1	0	0
AC005532.2	0	0
AC005534.1	0	0
AC005537.1	0	0
AC005538.1	0	0
AC005538.2	0.847509	0.54358
AC005538.3	0	0
AC005540.1	0.489907	0.327227
AC005544.1	0	0
AC005544.2	0	0
AC005546.1	0	0
AC005548.1	0	0
AC005549.1	0	0
AC005550.1	0	0
AC005550.2	0	0.03309
AC005551.1	0	0
AC005552.1	0	0
AC005559.1	0	0
AC005562.1	9.891303	7.415819
AC005562.2	0	0
AC005578.1	0.047629	0
AC005580.1	0	0
AC005586.1	0	0
AC005587.1	0	0
AC005588.1	0	0
AC005592.1	0	0
AC005592.2	0	0
AC005593.1	0	0
AC005594.1	0	0
AC005597.1	0	0
AC005599.1	0	0
AC005606.1	0.131653	0
AC005606.2	0.115539	0
AC005609.1	0.095033	0
AC005609.2	0	0
AC005609.3	0	0
AC005609.4	0	0
AC005609.5	0.010682	0
AC005614.1	0	0
AC005614.2	0.177281	0
AC005616.1	0	0
AC005618.1	0.02621	0
AC005618.2	0	0
AC005618.3	0	0
AC005618.4	0	0
AC005622.1	0	0
AC005625.1	0.14763	0
AC005632.1	0	0
AC005632.2	0	0
AC005632.3	0	0
AC005632.4	0	0
AC005632.5	0	0
AC005632.6	0	0
AC005670.1	0	0
AC005670.2	0	0
AC005670.3	5.735646	8.556927
AC005674.1	0	0
AC005682.1	0	0
AC005682.2	0	0
AC005691.1	0	0
AC005692.1	0	0
AC005692.2	0	0
AC005692.3	0	0
AC005695.1	0	0
AC005695.2	0	0
AC005695.3	0	0
AC005696.1	0	0
AC005696.2	0	0.27538
AC005696.3	0	0
AC005696.4	0	0
AC005697.1	0	0
AC005697.2	0	0
AC005697.3	0	0
AC005699.1	0	0
AC005702.1	0	0
AC005702.2	0	0
AC005702.3	0	0
AC005702.4	0	0
AC005702.5	0	0
AC005703.1	0	0
AC005703.2	0	0
AC005703.3	0	0
AC005703.4	0	0
AC005703.5	0	0
AC005703.6	0	0
AC005722.1	0	0
AC005722.2	0	0
AC005722.3	0	0
AC005722.4	0	0
AC005725.1	0	0
AC005726.1	0	0
AC005726.2	0	0.052537
AC005726.3	0	0
AC005726.4	0	0
AC005730.1	0	0
AC005730.2	0	0
AC005730.3	0	0
AC005736.1	0	0
AC005740.1	0	0
AC005740.2	0	0
AC005740.3	0	0
AC005740.4	0	0
AC005740.5	0	0
AC005741.1	0	0
AC005746.1	0	0
AC005746.2	0	0
AC005746.3	0	0
AC005753.1	0	0.140326
AC005753.2	0	0
AC005753.3	0.022701	0
AC005757.1	0	0
AC005758.1	0	0
AC005759.1	0	0
AC005771.1	0	0
AC005772.1	0	0
AC005772.2	0	0
AC005774.1	0	0
AC005774.2	0	0
AC005775.1	0.549361	0.811983
AC005776.1	1.236996	0
AC005776.2	0	0
