cancer_code,fusion_family,gene_5prime,gene_5prime_family,gene_5prime_ensembl_id,gene_3prime,gene_3prime_family,gene_3prime_ensembl_id,frequency,is_defining,pathognomonic,rnaseq_detectable,mechanism,confidence,pmid,notes
SARC_CCS,EWSR1-ATF1,EWSR1,FET,ENSG00000182944,ATF1,bZIP(CREB/ATF),ENSG00000123268,~90%,true,true,yes,fusion_transcript,high,PMID:8401579,clear cell sarcoma (melanoma of soft parts); t(12;22)(q13;q12)
SARC_CCS,EWSR1-CREB1,EWSR1,FET,ENSG00000182944,CREB1,bZIP(CREB/ATF),ENSG00000118260,minority,true,false,yes,fusion_transcript,medium,PMID:17000668,variant; also seen in GI clear cell sarcoma-like / angiomatoid FH
SARC_IFS,ETV6-NTRK3,ETV6,ETS,ENSG00000139083,NTRK3,RTK,ENSG00000140538,~90%,true,false,yes,fusion_transcript,high,PMID:9462753,infantile fibrosarcoma; t(12;15)(p13;q25); TRK-inhibitor responsive
SARC_EHE,WWTR1-CAMTA1,WWTR1,Hippo coactivator,ENSG00000018408,CAMTA1,,ENSG00000171735,~90%,true,true,yes,fusion_transcript,high,PMID:21584898,epithelioid hemangioendothelioma; t(1;3); WWTR1=TAZ; CAMTA1 IHC surrogate
SARC_EHE,YAP1-TFE3,YAP1,Hippo coactivator,ENSG00000137693,TFE3,MiT/TFE,ENSG00000068323,minority,true,false,surrogate,fusion_transcript,high,PMID:23737213,distinct EHE subset; TFE3 IHC surrogate; YAP1-TFE3 variant
SARC_LGFMS,FUS-CREB3L2,FUS,FET,ENSG00000089280,CREB3L2,bZIP(CREB/ATF),ENSG00000182158,~90%,true,true,yes,fusion_transcript,high,PMID:12915480,low-grade fibromyxoid sarcoma; t(7;16)(q33;p11)
SARC_LGFMS,FUS-CREB3L1,FUS,FET,ENSG00000089280,CREB3L1,bZIP(CREB/ATF),ENSG00000157613,minority,true,true,yes,fusion_transcript,medium,PMID:15640831,variant translocation t(11;16)
SARC_LGFMS,EWSR1-CREB3L1,EWSR1,FET,ENSG00000182944,CREB3L1,bZIP(CREB/ATF),ENSG00000157613,rare,true,true,yes,fusion_transcript,medium,PMID:23588368,rare FET-family variant
SARC_EMC,EWSR1-NR4A3,EWSR1,FET,ENSG00000182944,NR4A3,nuclear receptor,ENSG00000119508,~60%,true,true,yes,fusion_transcript,high,PMID:8570200,extraskeletal myxoid chondrosarcoma; t(9;22)(q22;q12); NR4A3=CHN/TEC/NOR1
SARC_EMC,TAF15-NR4A3,TAF15,FET,ENSG00000270647,NR4A3,nuclear receptor,ENSG00000119508,~30%,true,true,yes,fusion_transcript,high,PMID:10602519,TAF15=TAF2N/RBP56; t(9;17)
SARC_EMC,TCF12-NR4A3,TCF12,bHLH,ENSG00000140262,NR4A3,nuclear receptor,ENSG00000119508,rare,true,true,yes,fusion_transcript,medium,PMID:11156374,rare variant; t(9;15)
SARC_SFT,NAB2-STAT6,NAB2,,ENSG00000166886,STAT6,STAT,ENSG00000166888,~95%,true,true,surrogate,fusion_transcript,high,PMID:23313952,solitary fibrous tumor; intrachromosomal 12q13 inversion; nuclear STAT6 IHC surrogate; intronic breakpoints can miss in RNA
SARC_IMT,TPM3-ALK,TPM3,tropomyosin,ENSG00000143549,ALK,RTK,ENSG00000171094,common,true,true,surrogate,fusion_transcript,high,PMID:10934142,inflammatory myofibroblastic tumor; ALK IHC surrogate; ALK-inhibitor responsive
SARC_IMT,TPM4-ALK,TPM4,tropomyosin,ENSG00000167460,ALK,RTK,ENSG00000171094,minority,true,true,surrogate,fusion_transcript,medium,PMID:10934142,IMT ALK partner
SARC_IMT,EML4-ALK,EML4,,ENSG00000143924,ALK,RTK,ENSG00000171094,minority,true,false,surrogate,fusion_transcript,medium,PMID:28535796,IMT ALK partner
SARC_IMT,RANBP2-ALK,RANBP2,,ENSG00000153201,ALK,RTK,ENSG00000171094,minority,true,true,surrogate,fusion_transcript,medium,PMID:12661011,epithelioid inflammatory myofibroblastic sarcoma; aggressive variant
SARC_IMT,CARS1-ROS1,CARS1,,ENSG00000110619,ROS1,RTK,ENSG00000047936,minority,true,true,surrogate,fusion_transcript,medium,,ROS1-rearranged IMT subset (CARS=CARS1); citation pending verification (#456)
SARC_IMT,ETV6-NTRK3,ETV6,ETS,ENSG00000139083,NTRK3,RTK,ENSG00000140538,rare,true,false,yes,fusion_transcript,medium,PMID:27259007,NTRK-rearranged IMT subset
SARC_IMT,TFG-ROS1,TFG,,ENSG00000114354,ROS1,RTK,ENSG00000047936,rare,true,true,surrogate,fusion_transcript,low,PMID:24875859,ROS1 partner reported in IMT
SARC_DFSP,COL1A1-PDGFB,COL1A1,collagen,ENSG00000108821,PDGFB,growth factor,ENSG00000100311,~90%,true,true,surrogate,fusion_transcript,high,PMID:8988177,dermatofibrosarcoma protuberans; supernumerary ring chr from t(17;22); PDGFB overexpression; imatinib responsive
SARC_MYXLPS,FUS-DDIT3,FUS,FET,ENSG00000089280,DDIT3,bZIP(C/EBP),ENSG00000175197,~90%,true,true,yes,fusion_transcript,high,PMID:8510758,myxoid/round cell liposarcoma; t(12;16)(q13;p11); DDIT3=CHOP
SARC_MYXLPS,EWSR1-DDIT3,EWSR1,FET,ENSG00000182944,DDIT3,bZIP(C/EBP),ENSG00000175197,minority,true,true,yes,fusion_transcript,medium,PMID:8637704,variant t(12;22)
SARC_PEC,SFPQ-TFE3,SFPQ,,ENSG00000116560,TFE3,MiT/TFE,ENSG00000068323,minority,false,false,surrogate,fusion_transcript,medium,PMID:26274027,PEComa TFE3-rearranged subset; SFPQ=PSF; TFE3 IHC surrogate; most PEComas are TSC1/2-driven not fusion
SARC_PEC,DVL2-TFE3,DVL2,,ENSG00000004975,TFE3,MiT/TFE,ENSG00000068323,rare,false,false,surrogate,fusion_transcript,low,PMID:25651471,rare PEComa TFE3 partner
SARC_RMS_ARMS,PAX3-FOXO1,PAX3,PAX,ENSG00000135903,FOXO1,FOX,ENSG00000150907,~70%,true,true,yes,fusion_transcript,high,PMID:8275086,alveolar rhabdomyosarcoma; t(2;13)(q35;q14); worse prognosis than PAX7
SARC_RMS_ARMS,PAX7-FOXO1,PAX7,PAX,ENSG00000009709,FOXO1,FOX,ENSG00000150907,~20%,true,true,yes,fusion_transcript,medium,PMID:8187070,"t(1;13)(p36;q14); younger, better outcome; FOXO1=FKHR; PMID is the shared PAX-FKHR discovery paper"
SARC_RMS_SSRMS,VGLL2-NCOA2,VGLL2,vestigial-like,ENSG00000170162,NCOA2,NR coactivator,ENSG00000140396,subset,true,true,yes,fusion_transcript,medium,PMID:26501226,infantile spindle cell/sclerosing RMS; congenital subset
SARC_RMS_SSRMS,TEAD1-NCOA2,TEAD1,TEAD,ENSG00000187079,NCOA2,NR coactivator,ENSG00000140396,subset,true,true,yes,fusion_transcript,low,PMID:23463663,alternative infantile spindle cell RMS fusion
SARC_RMS_SSRMS,(none),,,,,,,,false,false,no,other,high,,"older child/adult sclerosing-spindle RMS driven by MYOD1 L122R point mutation, not a fusion"
SARC_CHON,HEY1-NCOA2,HEY1,bHLH,ENSG00000164683,NCOA2,NR coactivator,ENSG00000140396,~80%,true,true,yes,fusion_transcript,high,PMID:22034177,mesenchymal chondrosarcoma; ins(8;8) or t(8;8)
SARC_CHON,IRF2BP2-CDX1,IRF2BP2,,ENSG00000168264,CDX1,homeobox,ENSG00000113722,rare,false,false,yes,fusion_transcript,low,PMID:23185413,rare mesenchymal chondrosarcoma variant
SARC_CHON,(none),,,,,,,,false,false,no,other,high,,"conventional chondrosarcoma driven by IDH1/IDH2 mutation, not a fusion"
SARC_ESS_LG,JAZF1-SUZ12,JAZF1,,ENSG00000153814,SUZ12,PRC2/Polycomb,ENSG00000178691,~50%,true,true,yes,fusion_transcript,high,PMID:11371647,low-grade endometrial stromal sarcoma; t(7;17); SUZ12=JJAZ1
SARC_ESS_LG,JAZF1-PHF1,JAZF1,,ENSG00000153814,PHF1,PRC2/Polycomb,ENSG00000112511,minority,true,true,yes,fusion_transcript,medium,PMID:16397222,variant; PHF1 (6p21) recurrent partner
SARC_ESS_LG,EPC1-PHF1,EPC1,PRC2/Polycomb,ENSG00000120616,PHF1,PRC2/Polycomb,ENSG00000112511,minority,true,true,yes,fusion_transcript,medium,PMID:16397222,PHF1-rearranged LG-ESS variant
SARC_ESS_HG,YWHAE-NUTM2A,YWHAE,14-3-3,ENSG00000108953,NUTM2A,NUT,ENSG00000184923,common,true,true,yes,fusion_transcript,high,PMID:22456610,high-grade endometrial stromal sarcoma; t(10;17); NUTM2A/B=FAM22A/B; cyclin D1+
SARC_ESS_HG,YWHAE-NUTM2B,YWHAE,14-3-3,ENSG00000108953,NUTM2B,NUT,ENSG00000188199,common,true,true,yes,fusion_transcript,high,PMID:22456610,paralogous 3' partner
SARC_ESS_HG,ZC3H7B-BCOR,ZC3H7B,,ENSG00000100403,BCOR,PRC2/Polycomb,ENSG00000183337,subset,true,false,yes,fusion_transcript,medium,PMID:23580382,BCOR-rearranged HG-ESS subset; BCOR ITD-related morphology
SARC_LMS,(none),,,,,,,,false,false,no,other,high,,"leiomyosarcoma: complex karyotype, TP53/RB1/PTEN loss; no recurrent fusion"
SARC_UPS,(none),,,,,,,,false,false,no,other,high,,"undifferentiated pleomorphic sarcoma: complex genome, no defining fusion"
SARC_MYXFIB,(none),,,,,,,,false,false,no,other,high,,"myxofibrosarcoma: complex karyotype, no recurrent fusion"
SARC_DDLPS,(none),,,,,,,,false,false,no,other,high,,"dedifferentiated liposarcoma: 12q13-15 amplification (MDM2/CDK4), not a fusion"
SARC_WDLPS,(none),,,,,,,,false,false,no,other,high,,"well-differentiated liposarcoma: MDM2/CDK4 amplification (ring/giant marker chr), not a fusion"
SARC_PLEOLPS,(none),,,,,,,,false,false,no,other,high,,"pleomorphic liposarcoma: complex karyotype, TP53/RB1 loss; no defining fusion"
SARC_GIST,(none),,,,,,,,false,false,no,other,high,,GIST: KIT or PDGFRA activating mutation (or SDH-deficient); not fusion-driven
SARC_MPNST,(none),,,,,,,,false,false,no,other,high,,MPNST: NF1 loss + SUZ12/EED (PRC2) loss + CDKN2A; not fusion-driven
SARC_EPITH,(none),,,,,,,,false,false,no,other,high,,"epithelioid sarcoma: SMARCB1/INI1 loss (deletion), not a fusion"
SARC_KS,(none),,,,,,,,false,false,no,other,high,,"Kaposi sarcoma: HHV8/KSHV viral oncogenesis, not a chromosomal fusion"
SARC_OS,(none),,,,,,,,false,false,no,other,high,,"osteosarcoma: complex/chaotic karyotype, chromothripsis, TP53/RB1; no recurrent fusion"
SARC_RMS_ERMS,(none),,,,,,,,false,false,no,other,high,,"embryonal RMS: RAS-pathway mutations, 11p15 LOH; fusion-negative"
SARC_CHOR,(none),,,,,,,,false,false,surrogate,other,high,,chordoma: TBXT(brachyury) duplication/overexpression drives; not a fusion (brachyury IHC)
SARC_GCTB,(none),,,,,,,,false,false,surrogate,other,high,,giant cell tumor of bone: H3F3A (H3-3A) G34W point mutation; not a fusion
LAML,RUNX1-RUNX1T1,RUNX1,CBF,ENSG00000159216,RUNX1T1,CBF,ENSG00000079102,common,true,true,yes,fusion_transcript,high,PMID:1391946,AML t(8;21)(q22;q22); core-binding factor; RUNX1T1=ETO/MTG8; favorable
LAML,CBFB-MYH11,CBFB,CBF,ENSG00000067955,MYH11,myosin,ENSG00000133392,common,true,true,yes,fusion_transcript,high,PMID:8351518,AML inv(16)(p13q22)/t(16;16); CBF-AML; favorable
LAML,KMT2A-MLLT3,KMT2A,KMT/HMTase,ENSG00000118058,MLLT3,YEATS,ENSG00000171843,subset,true,true,yes,fusion_transcript,high,PMID:8506309,AML t(9;11); KMT2A=MLL; MLLT3=AF9; promiscuous MLL partner
LAML,KMT2A-MLLT10,KMT2A,KMT/HMTase,ENSG00000118058,MLLT10,MLL partner,ENSG00000078403,subset,true,false,yes,fusion_transcript,medium,PMID:7888665,t(10;11); MLLT10=AF10
LAML,KMT2A-ELL,KMT2A,KMT/HMTase,ENSG00000118058,ELL,,ENSG00000105656,subset,true,true,yes,fusion_transcript,medium,PMID:26949571,t(11;19)(q23;p13.1)
LAML,KMT2A-MLLT1,KMT2A,KMT/HMTase,ENSG00000118058,MLLT1,YEATS,ENSG00000130382,subset,true,true,yes,fusion_transcript,medium,PMID:1423624,t(11;19)(q23;p13.3); MLLT1=ENL
LAML,DEK-NUP214,DEK,,ENSG00000124795,NUP214,nucleoporin,ENSG00000126883,rare,true,true,yes,fusion_transcript,high,PMID:1549122,t(6;9)(p23;q34); FLT3-ITD-associated; poor prognosis; NUP214=CAN
LAML,NUP98-NSD1,NUP98,nucleoporin,ENSG00000110713,NSD1,KMT/HMTase,ENSG00000165671,rare,true,true,yes,fusion_transcript,medium,PMID:11493482,t(5;11); cryptic; pediatric AML; poor prognosis
LAML,NUP98-KDM5A,NUP98,nucleoporin,ENSG00000110713,KDM5A,,ENSG00000073614,rare,true,true,yes,fusion_transcript,low,PMID:23531517,t(11;12); KDM5A=JARID1A; acute megakaryoblastic
LAML,RBM15-MKL1,RBM15,,ENSG00000162775,MKL1,MRTF,ENSG00000196588,rare,true,true,yes,fusion_transcript,medium,PMID:11431691,"t(1;22); infant acute megakaryoblastic leukemia; MKL1=MRTFA, RBM15=OTT"
LAML_APL,PML-RARA,PML,TRIM/PML,ENSG00000140464,RARA,nuclear receptor,ENSG00000131759,~95%,true,true,yes,fusion_transcript,high,PMID:1652369,acute promyelocytic leukemia; t(15;17)(q24;q21); ATRA/ATO responsive
LAML_APL,ZBTB16-RARA,ZBTB16,BTB-ZF TF,ENSG00000109906,RARA,nuclear receptor,ENSG00000131759,rare,true,true,yes,fusion_transcript,high,PMID:8384553,t(11;17); ZBTB16=PLZF; ATRA-resistant variant
LAML_APL,NPM1-RARA,NPM1,nucleophosmin,ENSG00000181163,RARA,nuclear receptor,ENSG00000131759,rare,true,true,yes,fusion_transcript,medium,PMID:8562957,t(5;17) variant APL
CML,BCR-ABL1,BCR,,ENSG00000186716,ABL1,non-RTK kinase,ENSG00000097007,~100%,true,false,yes,fusion_transcript,high,PMID:6319012,chronic myeloid leukemia; t(9;22) Philadelphia; p210 (e13a2/e14a2); TKI responsive
B_ALL,BCR-ABL1,BCR,,ENSG00000186716,ABL1,non-RTK kinase,ENSG00000097007,~25%,true,false,yes,fusion_transcript,high,PMID:2820585,Ph+ B-ALL; adults more often; p190 (e1a2) typical; TKI responsive
B_ALL,ETV6-RUNX1,ETV6,ETS,ENSG00000139083,RUNX1,CBF,ENSG00000159216,~25%,true,true,yes,fusion_transcript,high,PMID:7761424,"childhood B-ALL; t(12;21)(p13;q22) cryptic; ETV6=TEL, RUNX1=AML1; favorable"
B_ALL,TCF3-PBX1,TCF3,bHLH(E-protein),ENSG00000071564,PBX1,homeobox(TALE),ENSG00000185630,~5%,true,true,yes,fusion_transcript,high,PMID:1967983,t(1;19)(q23;p13); TCF3=E2A; pre-B
B_ALL,KMT2A-AFF1,KMT2A,KMT/HMTase,ENSG00000118058,AFF1,AF4/LAF4,ENSG00000172493,subset,true,true,yes,fusion_transcript,high,PMID:1423625,t(4;11)(q21;q23); infant B-ALL; AFF1=AF4; poor prognosis
B_ALL,DUX4-IGH,IGH,Ig locus,,DUX4,homeobox,ENSG00000260596,subset,true,true,surrogate,ig_enhancer_hijack,medium,PMID:27776115,DUX4-rearranged B-ALL; IGH enhancer drives DUX4; ERG deregulation; favorable; orientation per IGH-enhancer juxtaposition
B_ALL,P2RY8-CRLF2,P2RY8,,ENSG00000182162,CRLF2,cytokine receptor,ENSG00000205755,subset,true,true,surrogate,promoter_swap,medium,PMID:19838194,Ph-like; PAR1 deletion places CRLF2 under P2RY8 promoter; CRLF2 overexpression
B_ALL,IGH-CRLF2,IGH,Ig locus,,CRLF2,cytokine receptor,ENSG00000205755,subset,true,true,surrogate,ig_enhancer_hijack,medium,PMID:19838194,Ph-like; IGH enhancer drives CRLF2; JAK pathway activation
T_ALL,STIL-TAL1,STIL,,ENSG00000123473,TAL1,bHLH,ENSG00000162367,subset,true,true,surrogate,promoter_swap,high,PMID:8350619,T-ALL; SIL-TAL1 microdeletion 1p32 places TAL1 under STIL promoter; TAL1 overexpression
T_ALL,TLX1-TRD,TRD,TCR locus,,TLX1,homeobox,ENSG00000107807,subset,true,true,surrogate,enhancer_hijack,medium,PMID:1676542,t(10;14)/t(7;10); TCR enhancer drives TLX1 (HOX11) overexpression
T_ALL,TLX3-BCL11B,BCL11B,,ENSG00000127152,TLX3,homeobox,ENSG00000164438,subset,true,true,surrogate,enhancer_hijack,medium,PMID:11587205,t(5;14)(q35;q32); TLX3=HOX11L2 overexpression via BCL11B enhancer
T_ALL,NUP214-ABL1,NUP214,nucleoporin,ENSG00000126883,ABL1,non-RTK kinase,ENSG00000097007,subset,true,true,yes,fusion_transcript,medium,PMID:15361874,episomal amplification 9q34; TKI-sensitive T-ALL
T_ALL,KMT2A-MLLT10,KMT2A,KMT/HMTase,ENSG00000118058,MLLT10,MLL partner,ENSG00000078403,subset,true,false,yes,fusion_transcript,medium,PMID:7662954,t(10;11); MLLT10=AF10; early T-cell precursor associated
MCL,CCND1-IGH,IGH,Ig locus,,CCND1,cyclin,ENSG00000110092,~95%,true,false,surrogate,ig_enhancer_hijack,high,PMID:8049438,mantle cell lymphoma; t(11;14)(q13;q32); IGH enhancer drives cyclin D1; no chimeric transcript; cyclin D1 IHC surrogate; PMID unverified
FL,BCL2-IGH,IGH,Ig locus,,BCL2,BCL2/apoptosis,ENSG00000171791,~85%,true,false,surrogate,ig_enhancer_hijack,high,PMID:3874430,follicular lymphoma; t(14;18)(q32;q21); IGH enhancer drives BCL2 anti-apoptotic overexpression
BL,MYC-IGH,IGH,Ig locus,,MYC,,ENSG00000136997,~80%,true,false,surrogate,ig_enhancer_hijack,high,PMID:6818551,Burkitt lymphoma; t(8;14)(q24;q32); IGH enhancer drives MYC
BL,MYC-IGK,IGK,Ig locus,,MYC,,ENSG00000136997,minority,true,true,surrogate,ig_enhancer_hijack,high,PMID:6424112,variant t(2;8); IGK light-chain enhancer drives MYC
BL,MYC-IGL,IGL,Ig locus,,MYC,,ENSG00000136997,minority,true,true,surrogate,ig_enhancer_hijack,high,PMID:6417658,variant t(8;22); IGL light-chain enhancer drives MYC
DLBC,BCL6-IGH,IGH,Ig locus,,BCL6,BTB-ZF TF,ENSG00000113916,subset,false,false,surrogate,ig_enhancer_hijack,medium,PMID:8235596,DLBCL; BCL6 (3q27) promiscuous rearrangements; many non-Ig partners; BCL6 overexpression
DLBC,MYC-IGH,IGH,Ig locus,,MYC,,ENSG00000136997,subset,false,false,surrogate,ig_enhancer_hijack,medium,PMID:6818551,double-hit / HGBL with MYC + BCL2 (and/or BCL6) rearrangements; aggressive
DLBC,BCL2-IGH,IGH,Ig locus,,BCL2,BCL2/apoptosis,ENSG00000171791,subset,false,false,surrogate,ig_enhancer_hijack,medium,PMID:3874430,double-hit partner lesion (GCB-DLBCL)
MM,CCND1-IGH,IGH,Ig locus,,CCND1,cyclin,ENSG00000110092,~15-20%,true,false,surrogate,ig_enhancer_hijack,high,PMID:8695815,multiple myeloma; t(11;14); cyclin D1 overexpression; venetoclax-sensitive subset
MM,NSD2-IGH,IGH,Ig locus,,NSD2,KMT/HMTase,ENSG00000109685,~15%,true,true,surrogate,ig_enhancer_hijack,high,PMID:9787135,t(4;14)(p16;q32); NSD2=WHSC1/MMSET + FGFR3 dysregulation; high-risk
MM,FGFR3-IGH,IGH,Ig locus,,FGFR3,RTK,ENSG00000068078,~15%,true,true,surrogate,ig_enhancer_hijack,high,PMID:9207791,co-deregulated with NSD2 in t(4;14); FGFR3 overexpression
MM,MAF-IGH,IGH,Ig locus,,MAF,bZIP(MAF),ENSG00000178573,~5%,true,true,surrogate,ig_enhancer_hijack,high,PMID:9616139,t(14;16)(q32;q23); c-MAF overexpression; high-risk
MM,CCND3-IGH,IGH,Ig locus,,CCND3,cyclin,ENSG00000112576,rare,true,true,surrogate,ig_enhancer_hijack,medium,PMID:11418483,t(6;14)(p21;q32); cyclin D3 overexpression
MM,MAFB-IGH,IGH,Ig locus,,MAFB,bZIP(MAF),ENSG00000204103,rare,true,true,surrogate,ig_enhancer_hijack,medium,PMID:11429052,t(14;20)(q32;q12); MAFB overexpression; high-risk
CLL,(none),,,,,,,,false,false,no,other,high,,"CLL: del13q14, trisomy 12, del11q(ATM), del17p(TP53), IGHV mutation status; not fusion-driven"
MDS,(none),,,,,,,,false,false,no,other,high,,"MDS: del5q/-7/del20q, SF3B1/TET2/ASXL1/TP53 mutations; not fusion-driven (rare exceptions)"
MPN,(none),,,,,,,,false,false,no,other,high,,"MPN (PV/ET/PMF): JAK2 V617F, CALR, or MPL driver mutations; not fusion-driven"
CTCL,(none),,,,,,,,false,false,no,other,high,,"cutaneous T-cell lymphoma (MF/Sezary): complex CNAs, no defining recurrent fusion"
HCL,(none),,,,,,,,false,false,no,other,high,,hairy cell leukemia: BRAF V600E point mutation; not a fusion
NUTM,BRD4-NUTM1,BRD4,BET,ENSG00000141867,NUTM1,NUT,ENSG00000184507,~70%,true,true,yes,fusion_transcript,high,PMID:12543779,NUT carcinoma; t(15;19); most common partner; BET-inhibitor target
NUTM,BRD3-NUTM1,BRD3,BET,ENSG00000169925,NUTM1,NUT,ENSG00000184507,~15%,true,true,yes,fusion_transcript,high,PMID:17934517,second most common NUT carcinoma fusion
NUTM,NSD3-NUTM1,NSD3,KMT/HMTase,ENSG00000147548,NUTM1,NUT,ENSG00000184507,~10%,true,true,yes,fusion_transcript,high,PMID:24875858,NSD3=WHSC1L1; NUT carcinoma variant
NUTM,ZNF532-NUTM1,ZNF532,,ENSG00000074657,NUTM1,NUT,ENSG00000184507,rare,true,true,yes,fusion_transcript,medium,PMID:28484033,rare NUT carcinoma partner
ADCC,MYB-NFIB,MYB,MYB,ENSG00000118513,NFIB,NFI,ENSG00000147862,~60%,true,true,yes,fusion_transcript,high,PMID:19841262,adenoid cystic carcinoma; t(6;9)(q22-23;p23-24)
ADCC,MYBL1-NFIB,MYBL1,MYB,ENSG00000185697,NFIB,NFI,ENSG00000147862,subset,true,true,yes,fusion_transcript,high,PMID:26851182,MYBL1-NFIB alternative in MYB-negative ACC; same MYB-pathway activation
ACINIC,HTN3-MSANTD3,HTN3,,ENSG00000205649,MSANTD3,,ENSG00000066697,subset,true,true,yes,fusion_transcript,medium,PMID:28212443,acinic cell carcinoma (salivary) recurrent fusion; t(4;11)
ACINIC,(none),,,,,,,,false,false,surrogate,enhancer_hijack,medium,,secretory acinic / mammary analogue overlap; many acinic cell carcinomas show NR4A3 enhancer hijack overexpression rather than a clean chimera; citation pending verification (#456)
THCA,CCDC6-RET,CCDC6,,ENSG00000108091,RET,RTK,ENSG00000165731,subset,false,false,yes,fusion_transcript,high,PMID:2406025,papillary thyroid carcinoma RET/PTC1; CCDC6=H4; RET-inhibitor target; radiation-associated
THCA,NCOA4-RET,NCOA4,NR coactivator,ENSG00000266412,RET,RTK,ENSG00000165731,subset,false,false,yes,fusion_transcript,high,PMID:8290261,RET/PTC3; NCOA4=ELE1/ARA70; common in radiation-induced PTC
THCA,PAX8-PPARG,PAX8,PAX,ENSG00000125618,PPARG,nuclear receptor,ENSG00000132170,subset,false,false,yes,fusion_transcript,high,PMID:10958784,follicular thyroid carcinoma (and follicular-variant PTC); t(2;3)(q13;p25)
THCA,ETV6-NTRK3,ETV6,ETS,ENSG00000139083,NTRK3,RTK,ENSG00000140538,minority,false,false,yes,fusion_transcript,medium,PMID:24327398,NTRK-rearranged PTC; TRK-inhibitor target
THCA,STRN-ALK,STRN,,ENSG00000115808,ALK,RTK,ENSG00000171094,rare,false,false,surrogate,fusion_transcript,medium,PMID:24613930,ALK-rearranged thyroid carcinoma subset
THCA,(none),,,,,,,,false,false,no,other,high,,"most PTC driven by BRAF V600E point mutation, not a fusion; fusions enrich in young/radiation cases"
LUAD,EML4-ALK,EML4,,ENSG00000143924,ALK,RTK,ENSG00000171094,~4-5%,false,false,yes,fusion_transcript,high,PMID:17625570,NSCLC; inv(2)(p21p23); ALK-TKI responsive; variant 1/3 common; intronic breakpoints
LUAD,CD74-ROS1,CD74,,ENSG00000019582,ROS1,RTK,ENSG00000047936,~1-2%,false,false,yes,fusion_transcript,high,PMID:22327623,ROS1-rearranged NSCLC; crizotinib/entrectinib target
LUAD,EZR-ROS1,EZR,,ENSG00000092820,ROS1,RTK,ENSG00000047936,minority,false,false,yes,fusion_transcript,medium,PMID:22327623,ROS1 partner in NSCLC
LUAD,SLC34A2-ROS1,SLC34A2,SLC,ENSG00000157765,ROS1,RTK,ENSG00000047936,minority,false,false,yes,fusion_transcript,medium,PMID:18083107,ROS1 partner in NSCLC
LUAD,KIF5B-RET,KIF5B,,ENSG00000170759,RET,RTK,ENSG00000165731,~1-2%,false,false,yes,fusion_transcript,high,PMID:22327623,RET-rearranged NSCLC; selpercatinib/pralsetinib target
LUAD,CCDC6-RET,CCDC6,,ENSG00000108091,RET,RTK,ENSG00000165731,minority,false,false,yes,fusion_transcript,medium,PMID:22327623,RET partner in NSCLC
