group_canonical_ensembl_gene_id,group_canonical_symbol,ensembl_gene_id,symbol,cds_nt,n_members
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000226600,CT47A9,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000226685,CT47A12,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000226929,CT47A11,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000228517,CT47A7,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000230347,CT47A8,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000230594,CT47A4,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000236126,CT47A3,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000237957,CT47A5,867,10
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000242362,CT47A2,867,10
ENSG00000171865,RNASEH1,ENSG00000171865,RNASEH1,861,2
ENSG00000171865,RNASEH1,ENSG00000286905,ENSG00000286905,861,2
ENSG00000255251,PRR23D1/2,ENSG00000255251,PRR23D1,840,2
ENSG00000255251,PRR23D1/2,ENSG00000255378,PRR23D2,840,2
ENSG00000132207,SLX1A/B,ENSG00000132207,SLX1A,828,2
ENSG00000132207,SLX1A/B,ENSG00000181625,SLX1B,828,2
ENSG00000223591,CENPVL1/2,ENSG00000223591,CENPVL1,819,2
ENSG00000223591,CENPVL1/2,ENSG00000283093,CENPVL2,819,2
ENSG00000284906,ARHGAP11B,ENSG00000284906,ENSG00000284906,804,2
ENSG00000284906,ARHGAP11B,ENSG00000285077,ARHGAP11B,804,2
ENSG00000183831,ANKRD45,ENSG00000183831,ANKRD45,801,2
ENSG00000183831,ANKRD45,ENSG00000285777,ENSG00000285777,801,2
ENSG00000186645,SPDYE8/9/11/17,ENSG00000186645,SPDYE17,798,4
ENSG00000186645,SPDYE8/9/11/17,ENSG00000262461,SPDYE9,798,4
ENSG00000186645,SPDYE8/9/11/17,ENSG00000273520,SPDYE8,798,4
ENSG00000186645,SPDYE8/9/11/17,ENSG00000275976,SPDYE11,798,4
ENSG00000286014,SPDYE13/14/15,ENSG00000286014,SPDYE15,798,3
ENSG00000286014,SPDYE13/14/15,ENSG00000286038,SPDYE13,798,3
ENSG00000286014,SPDYE13/14/15,ENSG00000286137,SPDYE14,798,3
ENSG00000124333,VAMP7,ENSG00000124333,VAMP7,783,2
ENSG00000124333,VAMP7,ENSG00000292366,VAMP7,783,2
ENSG00000213022,KLK9,ENSG00000213022,KLK9,753,2
ENSG00000213022,KLK9,ENSG00000269741,ENSG00000269741,753,2
ENSG00000257207,ENSG00000257207,ENSG00000257207,ENSG00000257207,747,2
ENSG00000257207,ENSG00000257207,ENSG00000284337,ENSG00000284337,747,2
ENSG00000197584,KCNMB2,ENSG00000197584,KCNMB2,708,2
ENSG00000197584,KCNMB2,ENSG00000275163,ENSG00000275163,708,2
ENSG00000106588,PSMA2,ENSG00000106588,PSMA2,705,2
ENSG00000106588,PSMA2,ENSG00000256646,ENSG00000256646,705,2
ENSG00000172568,FNDC9,ENSG00000172568,FNDC9,675,2
ENSG00000172568,FNDC9,ENSG00000285868,ENSG00000285868,675,2
ENSG00000241476,SSX2/SSX2B,ENSG00000241476,SSX2,672,2
ENSG00000241476,SSX2/SSX2B,ENSG00000268447,SSX2B,672,2
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000204918,PRR20B,666,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000204919,PRR20A,666,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000227151,PRR20D,666,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000229665,PRR20C,666,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000234278,PRR20E,666,5
ENSG00000183628,DGCR6,ENSG00000183628,DGCR6,663,2
ENSG00000183628,DGCR6,ENSG00000278817,ENSG00000278817,663,2
ENSG00000167578,RAB4B/RAB4B-EGLN2,ENSG00000167578,RAB4B,642,2
ENSG00000167578,RAB4B/RAB4B-EGLN2,ENSG00000171570,RAB4B-EGLN2,642,2
ENSG00000179304,FAM156A/B,ENSG00000179304,FAM156B,642,2
ENSG00000179304,FAM156A/B,ENSG00000268350,FAM156A,642,2
ENSG00000124641,MED20,ENSG00000124641,MED20,639,2
ENSG00000124641,MED20,ENSG00000288721,ENSG00000288721,639,2
ENSG00000249751,ECSCR,ENSG00000249751,ECSCR,618,2
ENSG00000249751,ECSCR,ENSG00000279686,ENSG00000279686,618,2
ENSG00000143545,RAB13,ENSG00000143545,RAB13,612,2
ENSG00000143545,RAB13,ENSG00000285641,ENSG00000285641,612,2
ENSG00000048545,GUCA1A/GUCA1ANB-GUCA1A,ENSG00000048545,GUCA1A,606,2
ENSG00000048545,GUCA1A/GUCA1ANB-GUCA1A,ENSG00000290147,GUCA1ANB-GUCA1A,606,2
ENSG00000184388,PABPC1L2A/B,ENSG00000184388,PABPC1L2B,603,2
ENSG00000184388,PABPC1L2A/B,ENSG00000186288,PABPC1L2A,603,2
ENSG00000181638,ZFP41,ENSG00000181638,ZFP41,597,2
ENSG00000181638,ZFP41,ENSG00000264668,ENSG00000264668,597,2
ENSG00000284234,TAF11L5/10,ENSG00000284234,TAF11L5,597,2
ENSG00000284234,TAF11L5/10,ENSG00000284356,TAF11L10,597,2
ENSG00000184911,DMRTC1/DMRTC1B,ENSG00000184911,DMRTC1B,579,2
ENSG00000184911,DMRTC1/DMRTC1B,ENSG00000269502,DMRTC1,579,2
ENSG00000107317,PTGDS,ENSG00000107317,PTGDS,573,2
ENSG00000107317,PTGDS,ENSG00000284341,ENSG00000284341,573,2
ENSG00000228836,CT45A5/6/7,ENSG00000228836,CT45A5,570,3
ENSG00000228836,CT45A5/6/7,ENSG00000273696,CT45A7,570,3
ENSG00000228836,CT45A5/6/7,ENSG00000278289,CT45A6,570,3
ENSG00000270946,CT45A2/8/9,ENSG00000270946,CT45A9,570,3
ENSG00000270946,CT45A2/8/9,ENSG00000271449,CT45A2,570,3
ENSG00000270946,CT45A2/8/9,ENSG00000278085,CT45A8,570,3
ENSG00000178440,TIMM23B/TIMM23B-AGAP6,ENSG00000178440,TIMM23B-AGAP6,567,2
ENSG00000178440,TIMM23B/TIMM23B-AGAP6,ENSG00000204152,TIMM23B,567,2
ENSG00000268009,SSX4/SSX4B,ENSG00000268009,SSX4,567,2
ENSG00000268009,SSX4/SSX4B,ENSG00000269791,SSX4B,567,2
ENSG00000002586,CD99,ENSG00000002586,CD99,558,2
ENSG00000002586,CD99,ENSG00000292348,CD99,558,2
ENSG00000170276,HSPB2/HSPB2-C11orf52,ENSG00000170276,HSPB2,549,2
ENSG00000170276,HSPB2/HSPB2-C11orf52,ENSG00000254445,HSPB2-C11orf52,549,2
ENSG00000173598,NUDT4/NUDT4B,ENSG00000173598,NUDT4,546,2
ENSG00000173598,NUDT4/NUDT4B,ENSG00000177144,NUDT4B,546,2
ENSG00000184033,CTAG1A/B,ENSG00000184033,CTAG1B,543,2
ENSG00000184033,CTAG1A/B,ENSG00000268651,CTAG1A,543,2
ENSG00000189052,CGB5/8,ENSG00000189052,CGB5,498,2
ENSG00000189052,CGB5/8,ENSG00000213030,CGB8,498,2
ENSG00000271567,PPIAL4E/F,ENSG00000271567,PPIAL4E,495,2
ENSG00000271567,PPIAL4E/F,ENSG00000279782,PPIAL4F,495,2
ENSG00000171478,SPACA5/SPACA5B,ENSG00000171478,SPACA5B,480,2
ENSG00000171478,SPACA5/SPACA5B,ENSG00000171489,SPACA5,480,2
ENSG00000229972,IQCF3,ENSG00000229972,IQCF3,465,2
ENSG00000229972,IQCF3,ENSG00000285749,ENSG00000285749,465,2
ENSG00000188536,HBA1/2,ENSG00000188536,HBA2,429,2
ENSG00000188536,HBA1/2,ENSG00000206172,HBA1,429,2
ENSG00000203811,H3C14/15,ENSG00000203811,H3C14,411,2
ENSG00000203811,H3C14/15,ENSG00000203852,H3C15,411,2
ENSG00000183632,TP53TG3/TP53TG3B/TP53TG3C,ENSG00000183632,TP53TG3,399,3
ENSG00000183632,TP53TG3/TP53TG3B/TP53TG3C,ENSG00000205457,TP53TG3C,399,3
ENSG00000183632,TP53TG3/TP53TG3B/TP53TG3C,ENSG00000261509,TP53TG3B,399,3
ENSG00000288825,H2AC18/19,ENSG00000288825,H2AC18,393,2
ENSG00000288825,H2AC18/19,ENSG00000288859,H2AC19,393,2
ENSG00000240747,KRBOX1,ENSG00000240747,KRBOX1,387,2
ENSG00000240747,KRBOX1,ENSG00000290317,ENSG00000290317,387,2
ENSG00000100028,SNRPD3,ENSG00000100028,SNRPD3,381,2
ENSG00000100028,SNRPD3,ENSG00000286070,ENSG00000286070,381,2
ENSG00000129862,VCY/VCY1B,ENSG00000129862,VCY1B,378,2
ENSG00000129862,VCY/VCY1B,ENSG00000129864,VCY,378,2
ENSG00000275034,TP53TG3E/F,ENSG00000275034,TP53TG3E,375,2
ENSG00000275034,TP53TG3E/F,ENSG00000278848,TP53TG3F,375,2
ENSG00000257949,TEN1/TEN1-CDK3,ENSG00000257949,TEN1,372,2
ENSG00000257949,TEN1/TEN1-CDK3,ENSG00000261408,TEN1-CDK3,372,2
ENSG00000163633,C4orf36,ENSG00000163633,C4orf36,354,2
ENSG00000163633,C4orf36,ENSG00000285458,C4orf36,354,2
ENSG00000215269,GAGE12F/G,ENSG00000215269,GAGE12G,354,2
ENSG00000215269,GAGE12F/G,ENSG00000236362,GAGE12F,354,2
ENSG00000216649,GAGE12C/D/E,ENSG00000216649,GAGE12E,354,3
ENSG00000216649,GAGE12C/D/E,ENSG00000227488,GAGE12D,354,3
ENSG00000216649,GAGE12C/D/E,ENSG00000237671,GAGE12C,354,3
ENSG00000277745,H2AB2/3,ENSG00000277745,H2AB3,348,2
ENSG00000277745,H2AB2/3,ENSG00000277858,H2AB2,348,2
ENSG00000167774,NDUFA7,ENSG00000167774,ENSG00000167774,342,2
ENSG00000167774,NDUFA7,ENSG00000267855,NDUFA7,342,2
ENSG00000275688,CCL15/CCL15-CCL14,ENSG00000275688,CCL15-CCL14,342,2
ENSG00000275688,CCL15/CCL15-CCL14,ENSG00000275718,CCL15,342,2
ENSG00000172058,SERF1A/B,ENSG00000172058,SERF1A,333,2
ENSG00000172058,SERF1A/B,ENSG00000205572,SERF1B,333,2
ENSG00000224440,CXorf51A/B,ENSG00000224440,CXorf51A,327,2
ENSG00000224440,CXorf51A/B,ENSG00000235699,CXorf51B,327,2
ENSG00000166275,BORCS7/BORCS7-ASMT,ENSG00000166275,BORCS7,321,2
ENSG00000166275,BORCS7/BORCS7-ASMT,ENSG00000270316,BORCS7-ASMT,321,2
ENSG00000183753,BPY2/BPY2B/BPY2C,ENSG00000183753,BPY2,321,3
ENSG00000183753,BPY2/BPY2B/BPY2C,ENSG00000183795,BPY2B,321,3
ENSG00000183753,BPY2/BPY2B/BPY2C,ENSG00000185894,BPY2C,321,3
ENSG00000132286,TIMM10B,ENSG00000132286,TIMM10B,312,2
ENSG00000132286,TIMM10B,ENSG00000283977,ENSG00000283977,312,2
ENSG00000197238,H4C11/12,ENSG00000197238,H4C11,312,2
ENSG00000197238,H4C11/12,ENSG00000273542,H4C12,312,2
ENSG00000270276,H4C14/15,ENSG00000270276,H4C15,312,2
ENSG00000270276,H4C14/15,ENSG00000270882,H4C14,312,2
ENSG00000198021,SPANXA1/2,ENSG00000198021,SPANXA1,294,2
ENSG00000198021,SPANXA1/2,ENSG00000203926,SPANXA2,294,2
ENSG00000125551,PLGLB1/2,ENSG00000125551,PLGLB2,291,2
ENSG00000125551,PLGLB1/2,ENSG00000183281,PLGLB1,291,2
ENSG00000206047,DEFA1/DEFA1B,ENSG00000206047,DEFA1,285,2
ENSG00000206047,DEFA1/DEFA1B,ENSG00000240247,DEFA1B,285,2
ENSG00000189090,FAM25C/G,ENSG00000189090,FAM25G,270,2
ENSG00000189090,FAM25C/G,ENSG00000276430,FAM25C,270,2
ENSG00000205989,DEFB109B/C,ENSG00000205989,DEFB109C,264,2
ENSG00000205989,DEFB109B/C,ENSG00000206034,DEFB109B,264,2
ENSG00000134049,IER3IP1,ENSG00000134049,IER3IP1,249,2
ENSG00000134049,IER3IP1,ENSG00000267228,ENSG00000267228,249,2
ENSG00000204379,XAGE1A/B,ENSG00000204379,XAGE1A,246,2
ENSG00000204379,XAGE1A/B,ENSG00000204382,XAGE1B,246,2
ENSG00000225396,FAM236C/D,ENSG00000225396,FAM236D,240,2
ENSG00000225396,FAM236C/D,ENSG00000283594,FAM236C,240,2
ENSG00000232948,DEFB130A/B,ENSG00000232948,DEFB130A,240,2
ENSG00000232948,DEFB130A/B,ENSG00000233050,DEFB130B,240,2
ENSG00000268994,FAM236A/B,ENSG00000268994,FAM236B,240,2
ENSG00000268994,FAM236A/B,ENSG00000275520,FAM236A,240,2
ENSG00000285064,SMIM40,ENSG00000285064,ENSG00000285064,240,2
ENSG00000285064,SMIM40,ENSG00000286920,SMIM40,240,2
ENSG00000186562,DEFB105A/B,ENSG00000186562,DEFB105A,237,2
ENSG00000186562,DEFB105A/B,ENSG00000186599,DEFB105B,237,2
ENSG00000213145,CRIP1,ENSG00000213145,CRIP1,234,2
ENSG00000213145,CRIP1,ENSG00000257341,ENSG00000257341,234,2
ENSG00000176782,DEFB104A/B,ENSG00000176782,DEFB104A,219,2
ENSG00000176782,DEFB104A/B,ENSG00000177023,DEFB104B,219,2
ENSG00000214265,SNURF,ENSG00000214265,ENSG00000214265,216,2
ENSG00000214265,SNURF,ENSG00000273173,SNURF,216,2
ENSG00000186572,DEFB107A/B,ENSG00000186572,DEFB107A,213,2
ENSG00000186572,DEFB107A/B,ENSG00000198129,DEFB107B,213,2
ENSG00000176797,DEFB103A/B,ENSG00000176797,DEFB103A,204,2
ENSG00000176797,DEFB103A/B,ENSG00000177243,DEFB103B,204,2
ENSG00000186579,DEFB106A/B,ENSG00000186579,DEFB106A,198,2
ENSG00000186579,DEFB106A/B,ENSG00000187082,DEFB106B,198,2
ENSG00000224107,ETDA/B,ENSG00000224107,ETDB,180,2
ENSG00000224107,ETDA/B,ENSG00000238210,ETDA,180,2
ENSG00000127540,UQCR11,ENSG00000127540,UQCR11,171,2
ENSG00000127540,UQCR11,ENSG00000267059,ENSG00000267059,171,2
