Family,Child_Code,Symbol,Ensembl_Gene_ID,Direction
ENDOCRINE,PCPG,PNMT,ENSG00000141744,high
ENDOCRINE,PCPG,CHGA,ENSG00000100604,high
ENDOCRINE,PCPG,SYP,ENSG00000102003,high
GU_RENAL,PRAD,KLK3,ENSG00000142515,high
GU_RENAL,PRAD,KLK2,ENSG00000167751,high
GU_RENAL,PRAD,TMPRSS2,ENSG00000184012,high
GU_RENAL,PRAD,FOLH1,ENSG00000086205,high
GU_RENAL,PRAD,NKX3-1,ENSG00000167034,high
GU_RENAL,PRAD,HOXB13,ENSG00000159184,high
GU_RENAL,PRAD,AR,ENSG00000169083,high
GU_RENAL,BLCA_LUMINAL,UPK1A,ENSG00000105668,high
GU_RENAL,BLCA_LUMINAL,UPK1B,ENSG00000114638,high
GU_RENAL,BLCA_LUMINAL,UPK2,ENSG00000110375,high
GU_RENAL,BLCA_LUMINAL,UPK3A,ENSG00000100373,high
GU_RENAL,BLCA_LUMINAL,KRT20,ENSG00000171431,high
GU_RENAL,BLCA_LUMINAL,GATA3,ENSG00000107485,high
GU_RENAL,BLCA_LUMINAL,FOXA1,ENSG00000129514,high
GU_RENAL,BLCA_LUMINAL,PPARG,ENSG00000132170,high
GU_RENAL,KIRC,CA9,ENSG00000107159,high
GU_RENAL,KIRC,NDUFA4L2,ENSG00000185633,high
GU_RENAL,KIRC,AQP1,ENSG00000240583,high
GU_RENAL,KIRP,MET,ENSG00000105976,high
GU_RENAL,KIRP,AQP1,ENSG00000240583,high
GU_RENAL,KIRP,S100A4,ENSG00000196154,low
GU_RENAL,KICH,RHCG,ENSG00000140519,high
GU_RENAL,KICH,KIT,ENSG00000157404,high
GU_RENAL,KICH,TFCP2L1,ENSG00000115112,high
GU_RENAL,KICH,FOXI1,ENSG00000168269,high
GU_RENAL,KICH,PARM1,ENSG00000169116,high
GYNECOLOGIC_GLANDULAR,OV,PAX8,ENSG00000125618,high
GYNECOLOGIC_GLANDULAR,OV,WT1,ENSG00000184937,high
GYNECOLOGIC_GLANDULAR,OV,MSLN,ENSG00000102854,high
GYNECOLOGIC_GLANDULAR,OV,MUC16,ENSG00000181143,high
GYNECOLOGIC_GLANDULAR,OV,FOLR1,ENSG00000110195,high
GYNECOLOGIC_GLANDULAR,UCEC,PAX8,ENSG00000125618,high
GYNECOLOGIC_GLANDULAR,UCEC,ESR1,ENSG00000091831,high
GYNECOLOGIC_GLANDULAR,UCEC,PGR,ENSG00000082175,high
GYNECOLOGIC_GLANDULAR,UCEC,MUC16,ENSG00000181143,high
NET,NET_PANCREAS,PDX1,ENSG00000139515,high
NET,NET_PANCREAS,NEUROD1,ENSG00000162992,high
NET,NET_PANCREAS,INS,ENSG00000254647,high
NET,NET_PANCREAS,GCG,ENSG00000115263,high
NET,NET_PANCREAS,SST,ENSG00000157005,high
NET,NET_MIDGUT,CDX2,ENSG00000165556,high
NET,NET_MIDGUT,TPH1,ENSG00000129167,high
NET,NET_MIDGUT,GCG,ENSG00000115263,high
NET,SCLC,ASCL1,ENSG00000139352,high
NET,SCLC,INSM1,ENSG00000173404,high
NET,SCLC,CHGA,ENSG00000100604,high
NET,SCLC,SYP,ENSG00000102003,high
NET,NEC_MERKEL,KRT20,ENSG00000171431,high
NET,NEC_MERKEL,NEFM,ENSG00000104722,high
NET,NEC_MERKEL,SOX2,ENSG00000181449,high
BONE_EWS,SARC_OS,RUNX2,ENSG00000124813,high
BONE_EWS,SARC_OS,COL1A1,ENSG00000108821,high
BONE_EWS,SARC_OS,ALPL,ENSG00000162551,high
BONE_EWS,SARC_OS,SPP1,ENSG00000118785,high
BONE_EWS,SARC_OS,IBSP,ENSG00000029559,high
BONE_EWS,SARC_OS,DLX5,ENSG00000105880,high
BONE_EWS,SARC_OS,DMP1,ENSG00000152592,high
BONE_EWS,SARC_OS,MEPE,ENSG00000152595,high
BONE_EWS,SARC_EWS,NKX2-2,ENSG00000125820,high
BONE_EWS,SARC_EWS,CD99,ENSG00000002586,high
BONE_EWS,SARC_EWS,CAV1,ENSG00000105974,high
BONE_EWS,SARC_CHON,COL2A1,ENSG00000139219,high
BONE_EWS,SARC_CHON,SOX9,ENSG00000125398,high
BONE_EWS,SARC_CHON,ACAN,ENSG00000157766,high
BONE_EWS,SARC_CHON,COMP,ENSG00000105664,high
BONE_EWS,SARC_CHON,COL11A1,ENSG00000060718,high
MESENCHYMAL,SARC_RMS_ERMS,MYOD1,ENSG00000129152,high
MESENCHYMAL,SARC_RMS_ERMS,MYOG,ENSG00000122180,high
MESENCHYMAL,SARC_RMS_ERMS,DES,ENSG00000175084,high
MESENCHYMAL,SARC_RMS_ERMS,MYF5,ENSG00000111049,high
MESENCHYMAL,SARC_RMS_ERMS,MYF6,ENSG00000111046,high
MESENCHYMAL,SARC_RMS_ARMS,MYOD1,ENSG00000129152,high
MESENCHYMAL,SARC_RMS_ARMS,MYOG,ENSG00000122180,high
MESENCHYMAL,SARC_RMS_ARMS,DES,ENSG00000175084,high
MESENCHYMAL,SARC_RMS_ARMS,MYF5,ENSG00000111049,high
MESENCHYMAL,SARC_RMS_ARMS,MYF6,ENSG00000111046,high
