cancer_code,source_status,reference_code,source_project,source_cohort,accession,source_url,assay,source_scope,estimated_samples,processing_plan,gene_id_plan,normalization_plan,notes
MBL_G3,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma Group 3 neoplastic cells,7,Pseudobulk human neoplastic cells by sample then aggregate Group 3,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 7 GP3 tumors with raw counts and cell metadata
MBL_G4,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma Group 4 neoplastic cells,11,Pseudobulk human neoplastic cells by sample then aggregate Group 4,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 11 GP4 tumors with raw counts and cell metadata
MBL_SHH,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma SHH neoplastic cells,9,Pseudobulk human neoplastic cells by sample then aggregate SHH,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 9 SHH tumors with raw counts and cell metadata
MBL_WNT,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma WNT neoplastic cells,1,Pseudobulk human neoplastic cells by sample then aggregate WNT,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 1 WNT tumor with raw counts and cell metadata
SCLC_ASCL1,parent_reference_only,SCLC,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,SCLC parent cohort,,Find sample-level matrix or subtype labels before splitting ASCL1 state,symbols harmonized to Ensembl112,TPM and TPM_clean,Packaged SCLC is parent summary only so subtype split is not reproducible yet
SCLC_NEUROD1,parent_reference_only,SCLC,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,SCLC parent cohort,,Find sample-level matrix or subtype labels before splitting NEUROD1 state,symbols harmonized to Ensembl112,TPM and TPM_clean,Packaged SCLC is parent summary only so subtype split is not reproducible yet
SCLC_POU2F3,parent_reference_only,SCLC,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,SCLC parent cohort,,Find sample-level matrix or subtype labels before splitting POU2F3 state,symbols harmonized to Ensembl112,TPM and TPM_clean,Packaged SCLC is parent summary only so subtype split is not reproducible yet
SCLC_YAP1,parent_reference_only,SCLC,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,SCLC parent cohort,,Find sample-level matrix or subtype labels before splitting YAP1 state,symbols harmonized to Ensembl112,TPM and TPM_clean,Packaged SCLC is parent summary only so subtype split is not reproducible yet
FL,scRNA_candidate_needs_malignant_selection,,GEO,GSE261917,GSE261917,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261917,single-cell RNA-seq,follicular lymphoma lymph-node CD45-positive and CD45-negative cells,3,Pseudobulk malignant FL B cells only after reproducible malignant-cell or clonotype selection,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,Raw matrices are public but malignant-cell selection needs explicit reproducible rule
HCL,source_needed,,,,,,unknown,hairy cell leukemia primary tumor cells,,Find public RNA-seq or scRNA-seq with primary HCL cells and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,No clean public import candidate confirmed yet
HL,source_needed,,,,,,unknown,Hodgkin lymphoma Reed-Sternberg tumor cells,,Find public RNA-seq or scRNA-seq with malignant HRS-cell selection and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM or nTPM-like pseudobulk and TPM_clean,Direct tumor signal requires malignant-cell selection because HRS cells are rare
PCN,parent_reference_only,MM,MMRF CoMMpass,MMRF_COMMPASS,MMRF_COMMPASS,https://portal.gdc.cancer.gov/projects/MMRF-COMMPASS,bulk RNA-seq,plasma-cell parent reference,764,Use packaged MM parent until a direct plasmacytoma cohort is validated,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Solitary plasmacytoma is parented to MM for expression fallback
NET_LUNG,source_needed,,,,,,unknown,lung typical or atypical carcinoid primary tumors,,Find public RNA-seq with carcinoid-specific labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Do not substitute SCLC or LCNEC
NEC_LUNG_LARGECELL,source_needed,,,,,,unknown,lung large-cell neuroendocrine carcinoma primary tumors,,Find public RNA-seq with LCNEC labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Needs separation from carcinoid and SCLC
NET_MIDGUT,source_needed,,,,,,unknown,midgut or small-bowel neuroendocrine tumor primary tumors,,Find public RNA-seq with midgut NET labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,PanNET source should not be reused for midgut NET
MTC,source_needed,,,,,,unknown,medullary thyroid carcinoma primary tumors,,Find public RNA-seq with MTC labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,TCGA THCA is follicular-cell thyroid carcinoma and is not an MTC reference
NPC,bulk_candidate_ready,,GEO,GSE102349,GSE102349,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102349,bulk RNA-seq,treatment-naive undifferentiated nasopharyngeal carcinoma tumors,113,Import processed mRNA matrix and aggregate all tumor samples,source matrix gene identifiers to be inspected and harmonized to Ensembl112,TPM if present else length-normalized TPM then TPM_clean,GEO reports 113 fresh treatment-naive NPC tumors with processed matrix
NEC_MERKEL,bulk_candidate_ready,,GEO,GSE235092,GSE235092,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235092,bulk RNA-seq,Merkel cell carcinoma tumor samples,,Import bulk counts after sample metadata validates tumor-only MCC rows,gene IDs to be inspected and harmonized to Ensembl112,length-normalized TPM and TPM_clean,Registry code MEC is Merkel cell carcinoma not salivary mucoepidermoid carcinoma
ADCC,dependency_rebuild_pending,,GEO,GSE294016,GSE294016,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294016,bulk RNA-seq,diagnosis-confirmed advanced salivary adenoid cystic carcinoma sample rows,57,Rebuild in oncoref from the public Supplementary Dataset 1 diagnosis map and exclude all non-ACC histologies,versioned Ensembl IDs harmonized to the oncoref canonical space,TPM and TPM_clean,oncoref#422 owns the exact source-matrix / summary / representative / percentile rebuild
ACINIC,dependency_rebuild_pending,,GEO,GSE294016,GSE294016,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294016,bulk RNA-seq,diagnosis-confirmed advanced salivary acinic cell carcinoma sample rows,3,Rebuild in oncoref from the public Supplementary Dataset 1 diagnosis map and exclude all non-AciCC histologies,versioned Ensembl IDs harmonized to the oncoref canonical space,TPM and TPM_clean,oncoref#422 owns the exact source-matrix / summary / representative / percentile rebuild
SARC_ESS_HG,source_needed,,,,,,unknown,high-grade endometrial stromal sarcoma primary tumors,,Find public RNA-seq with HG-ESS labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Needs direct cohort separate from uterine carcinoma
SARC_ESS_LG,source_needed,,,,,,unknown,low-grade endometrial stromal sarcoma primary tumors,,Find public RNA-seq with LG-ESS labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Needs direct cohort separate from uterine carcinoma
SARC_GCTB,source_needed,,,,,,unknown,giant cell tumor of bone primary tumors,,Find public RNA-seq with GCTB labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Do not substitute osteosarcoma or chondrosarcoma
SARC_ANGIO,source_needed,SARC,,,,,unknown,angiosarcoma primary tumors,,Find public RNA-seq with angiosarcoma labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_ASPS,bulk_candidate_ready,SARC,GEO,GSE54729,GSE54729,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54729,bulk RNA-seq,human alveolar soft part sarcoma tumors,5,Import human ASPS tumor samples and exclude normal muscle and mouse rows,source matrix gene identifiers to be inspected and harmonized to Ensembl112,TPM if present else length-normalized TPM then TPM_clean,GEO reports five human ASPS tumors
SARC_CCS,source_needed,SARC,,,,,unknown,clear cell sarcoma primary tumors,,Find public RNA-seq with CCS labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_DFSP,source_needed,SARC,,,,,unknown,dermatofibrosarcoma protuberans primary tumors,,Find public RNA-seq with DFSP labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_DSRCT,source_needed,SARC,,,,,unknown,desmoplastic small round cell tumor primary tumors,,Find public RNA-seq with DSRCT labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_EHE,source_needed,SARC,,,,,unknown,epithelioid hemangioendothelioma primary tumors,,Find public RNA-seq with EHE labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_EMC,source_needed,SARC,,,,,unknown,extraskeletal myxoid chondrosarcoma primary tumors,,Find public RNA-seq with EMC labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_EPITH,source_needed,SARC,,,,,unknown,epithelioid sarcoma primary tumors,,Find public RNA-seq with epithelioid sarcoma labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_GIST,scRNA_candidate_ready,SARC,GEO,GSE162115,GSE162115,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162115,single-cell RNA-seq,GIST intra-tumor malignant cells,4,Pseudobulk tumor-cell clusters from GIST tumor samples and exclude peri-tumor cells,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO reports GIST tumor and peri-tumor scRNA with tumor-cell clusters
SARC_IFS,source_needed,SARC,,,,,unknown,infantile fibrosarcoma primary tumors,,Find public RNA-seq with IFS labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_IMT,source_needed,SARC,,,,,unknown,inflammatory myofibroblastic tumor primary tumors,,Find public RNA-seq with IMT labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_KS,source_needed,SARC,,,,,unknown,Kaposi sarcoma primary tumors,,Find public RNA-seq with Kaposi sarcoma labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_MPNST,bulk_candidate_ready,SARC,GEO,GSE207400,GSE207400,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207400,bulk RNA-seq,malignant peripheral nerve sheath tumor samples,48,Import bulk RNA-seq matrix and aggregate malignant PNST rows by sample metadata,source matrix gene identifiers to be inspected and harmonized to Ensembl112,TPM if present else length-normalized TPM then TPM_clean,GEO supplies bulk RNA-seq matrix for PNST molecular subgroups
SARC_MYXLPS,parent_reference_only,SARC,TCGA,TCGA_XENA_TOIL,TCGA-SARC,https://portal.gdc.cancer.gov/projects/TCGA-SARC,bulk RNA-seq,TCGA SARC parent cohort,,Use SARC parent until a direct myxoid liposarcoma cohort is validated,TCGA/HPA IDs already packaged,TPM and TPM_clean,Direct myxoid liposarcoma source still needed
SARC_PEC,source_needed,SARC,,,,,unknown,PEComa primary tumors,,Find public RNA-seq with PEComa labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_SFT,source_needed,SARC,,,,,unknown,solitary fibrous tumor primary tumors,,Find public RNA-seq with SFT labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_WDLPS,parent_reference_only,SARC,TCGA,TCGA_XENA_TOIL,TCGA-SARC,https://portal.gdc.cancer.gov/projects/TCGA-SARC,bulk RNA-seq,TCGA SARC parent cohort,,Use SARC parent until a direct well-differentiated liposarcoma cohort is validated,TCGA/HPA IDs already packaged,TPM and TPM_clean,Direct well-differentiated liposarcoma source still needed
SARC_CIC,bulk_candidate_ready,SARC,Treehouse,TREEHOUSE_POLYA_25_01,Treehouse-Tumor-Compendium-25.01-PolyA,https://public.gi.ucsc.edu/~ekephart/public-data/#tumor_25.01_polya,bulk RNA-seq,CIC-rearranged sarcoma samples in Treehouse 25.01 PolyA,5,Filter Treehouse 25.01 PolyA by CIC-rearranged histology then aggregate clean_tpm_16_9_75 per gene,HUGO symbols harmonized to Ensembl112,TPM and TPM_clean,Registry-declared Treehouse atom not yet built (small n)
SARC_BCOR,bulk_candidate_ready,SARC,Treehouse,TREEHOUSE_POLYA_25_01,Treehouse-Tumor-Compendium-25.01-PolyA,https://public.gi.ucsc.edu/~ekephart/public-data/#tumor_25.01_polya,bulk RNA-seq,BCOR-rearranged sarcoma samples in Treehouse 25.01 PolyA,2,Filter Treehouse 25.01 PolyA by BCOR-rearranged histology then aggregate clean_tpm_16_9_75 per gene,HUGO symbols harmonized to Ensembl112,TPM and TPM_clean,Registry-declared Treehouse atom not yet built (n=2 too small for a stable summary)
SARC_MYOEP,bulk_candidate_ready,SARC,Treehouse,TREEHOUSE_POLYA_25_01,Treehouse-Tumor-Compendium-25.01-PolyA,https://public.gi.ucsc.edu/~ekephart/public-data/#tumor_25.01_polya,bulk RNA-seq,Soft-tissue myoepithelial carcinoma samples in Treehouse 25.01 PolyA,5,Filter Treehouse 25.01 PolyA by myoepithelial histology then aggregate clean_tpm_16_9_75 per gene,HUGO symbols harmonized to Ensembl112,TPM and TPM_clean,Registry-declared Treehouse atom not yet built (small n)
THYMCA,parent_sample_split_ready,THYM,TCGA,TCGA_THYM,TCGA-THYM,https://portal.gdc.cancer.gov/projects/TCGA-THYM,bulk RNA-seq,Thymic-carcinoma subset of TCGA-THYM (minority of n~120; rest are thymoma),,Split TCGA-THYM STAR-count TPM by WHO histology (carcinoma vs thymoma),GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Distinct from thymoma; build from TCGA-THYM histology labels
CESC_HPVneg,parent_sample_split_ready,CESC,TCGA,TCGA_CESC,TCGA-CESC,https://portal.gdc.cancer.gov/projects/TCGA-CESC,bulk RNA-seq,HPV-negative subset of TCGA-CESC (small minority; gastric-type/clear-cell),,Split TCGA-CESC by HPV-status calls then aggregate per gene,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,HPV-independent cervical; needs HPV-status calls to isolate
CHOL,direct_reference_available,CHOL,TCGA,TCGA_CHOL,TCGA-CHOL,https://portal.gdc.cancer.gov/projects/TCGA-CHOL,bulk RNA-seq,TCGA cholangiocarcinoma tumor samples,36,Use packaged TCGA-CHOL/Treehouse subset as the direct CHOL reference before any marker-only fallback,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct CHOL reference exists at TCGA level; richer intrahepatic/perihilar/extrahepatic/site split still needs metadata.
GBC,bulk_candidate_ready,,GEO,GSE139682_GBC,GSE139682,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139682,bulk RNA-seq,gallbladder cancer tumor samples with matched normals,10,Import processed RPKM matrix and aggregate tumor rows only; use as small-n discriminator evidence rather than a standalone promotable reference,source matrix identifiers to be inspected and harmonized to Ensembl112,RPKM-to-TPM proxy if gene lengths are recoverable then TPM_clean,GEO GSE139682 has 10 GBC tumors plus matched normals; GSE100363 is circRNA-oriented and should remain secondary evidence until gene-level suitability is verified.
PMBCL,source_needed,DLBC,GEO,GSE134511_PMBL,GSE134511,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134511,microarray (DASL beadchip),95 PMBL tumors (Mottok 2019; array not bulk RNA-seq),95,Array-only public cohort; a bulk-RNA-seq PMBCL source is still needed,probe-to-Ensembl112 mapping,TPM-proxy,No public bulk RNA-seq PMBCL cohort verified; Lymph3Cx classifier is NanoString
ATC,source_needed,THCA,literature,LITERATURE_CURATED,,,WES/panel only,Anaplastic thyroid genomics is WES/panel (Pozdeyev PMID:29615459 n=196; landscape DOI:10.1016/j.celrep.2024.113826),,No public ATC bulk RNA-seq cohort located; clinical reference (TMB/ICI) curated,,,No public bulk RNA-seq for anaplastic thyroid verified
SARC_SMARCA4,bulk_candidate_ready,SARC,Treehouse,TREEHOUSE_POLYA_25_01,Treehouse-Tumor-Compendium-25.01-PolyA,https://public.gi.ucsc.edu/~ekephart/public-data/#tumor_25.01_polya,bulk RNA-seq,SMARCA4-deficient thoracic sarcoma samples in Treehouse 25.01 PolyA,13,Filter Treehouse 25.01 PolyA by SMARCA4-deficient thoracic histology then aggregate clean_tpm_16_9_75 per gene,HUGO symbols harmonized to Ensembl112,TPM and TPM_clean,Registry-declared Treehouse atom not yet built
