cancer_code,median_tmb_mut_mb,n_samples,source,pmid_doi,confidence,notes,estimate_type,source_scope,missing_reason
MPN,,,,,none,Myeloproliferative neoplasm; driver-defined (JAK2/CALR/MPL); no published per-Mb median.,unknown,no_direct_source,no_published_per_mb_median_curated
CML,,,,,none,Chronic myeloid leukemia; BCR-ABL1-defined; very few additional mutations in chronic phase.,unknown,no_direct_source,no_published_per_mb_median_curated
CTCL,3.0,,da Silva Almeida 2015,PMID:26551667,low,CTCL/mycosis fungoides; UV-signature; stage-dependent; advanced much higher.,published_median,cancer_code_direct,
NET_PANCREAS,1.9,,van Riet 2021,PMID:34326338,medium,Pancreatic NET well-diff median ~1.9 (vs NEC ~5.0); low.,published_median,cancer_code_direct,
SCLC,8.6,,George 2015,PMID:26168399,high,Small cell lung; high ~8.6; smoking signature.,published_median,cancer_code_direct,
NEC_MERKEL,5.3,,Knepper 2019,PMID:31399473,medium,Merkel cell carcinoma median ~5.3; bimodal MCPyV-neg(UV) high vs MCPyV-pos low.,published_median,cancer_code_direct,
MTC,1.0,148,Ciampi 2019,PMID:31605946,low,"Sporadic medullary thyroid; single-driver RET/RAS; ~1 mut/Mb inferred from panel (148 cases, 89% single-mutation).",panel_inferred,cancer_code_direct,
ADCC,0.31,,Ho 2013,PMID:23685749,high,Adenoid cystic carcinoma ~0.31; MYB-NFIB fusion-driven; very low.,published_median,cancer_code_direct,
NPC,0.95,,Li 2017,PMID:28098136,medium,Nasopharyngeal carcinoma median ~0.95-1.0; EBV-driven low SNV burden.,published_median,cancer_code_direct,
NUTM,1.0,,He 2020,PMID:31180909,high,NUTM1 fusion sole driver; very low TMB (range 0-16).,published_median,cancer_code_direct,
BRCA_Basal,1.8,,TCGA-Breast;Barroso-Sousa 2020,PMID:23000897;PMID:32067680,low,TNBC/basal-like: highest TMB among breast subtypes,published_median,cancer_code_direct,
BRCA_HER2,1.6,,TCGA-Breast;Barroso-Sousa 2020,PMID:23000897;PMID:32067680,low,HER2-enriched: elevated vs luminal,published_median,cancer_code_direct,
BRCA_LumB,1.2,,TCGA-Breast,PMID:23000897,low,luminal B,published_median,cancer_code_direct,
BRCA_LumA,0.9,,TCGA-Breast,PMID:23000897,low,luminal A: lowest-TMB subtype,published_median,cancer_code_direct,
BRCA_Normal,1.0,,TCGA-Breast,PMID:23000897,low,normal-like,published_median,cancer_code_direct,
HNSC_HPVneg,4.6,,TCGA-HNSC,PMID:25631445,medium,"HPV-negative, smoking-associated: higher TMB",published_median,cancer_code_direct,
HNSC_HPVpos,2.8,,TCGA-HNSC,PMID:25631445,medium,HPV-positive: lower TMB than HPV-negative,published_median,cancer_code_direct,
SARC,1.8,,TCGA-SARC 2017,DOI:10.1016/j.cell.2017.10.014,medium,pan soft-tissue sarcoma (TCGA-SARC overall),published_median,cancer_code_direct,
SARC_LPS_UNSPEC,1.5,,TCGA-SARC 2017,DOI:10.1016/j.cell.2017.10.014,low,liposarcoma NOS ~ dedifferentiated,published_median,cancer_code_direct,
SARC_RMS_PRMS,1.2,,Grobner 2018,PMID:29489754,low,pleomorphic RMS (adult): higher than pediatric RMS,published_median,cancer_code_direct,
SARC_RMS_SSRMS,0.6,,Grobner 2018,PMID:29489754,low,spindle/sclerosing RMS,published_median,cancer_code_direct,
BCC,65,,Bonilla 2016,PMID:26950094,medium,Basal cell carcinoma; UV signature; among the highest TMB of any tumor.,published_median,cancer_code_direct,
cSCC,45,,Pickering 2014,PMID:25303977,medium,Cutaneous SCC; UV-driven; very high TMB.,published_median,cancer_code_direct,
EPN,0.5,,Grobner 2018,PMID:29489754,medium,Ependymoma; very low SNV TMB; fusion/epigenetic-driven.,published_median,cancer_code_direct,
DIPG,1.0,,Mackay 2017,PMID:28966033,medium,Diffuse midline glioma; low TMB; H3 K27M epigenetic driver.,published_median,cancer_code_direct,
VSCC,5.6,,Ordi 2024,PMID:39089654,medium,Vulvar SCC; HPV-neg (TP53/CDKN2A) higher TMB than HPV-pos.,published_median,cancer_code_direct,
VAGC,,,,,none,Vaginal SCC; HPV-associated; no cited median curated.,unknown,no_direct_source,no_published_per_mb_median_curated
PENSCC,4.5,,Jacob 2024,DOI:10.1200/PO.23.00406,low,Penile SCC; 15% TMB-H>=10; HPV-neg+PD-L1 higher TMB.,published_median,cancer_code_direct,
ANSC,5.0,,Cacheux 2018,PMID:29416628,medium,"HPV-driven anal SCC; mean ~8.6, median ~5.",published_median,cancer_code_direct,
GBC,5.5,,Comprehensive GBC 2023,DOI:10.1038/s41698-022-00327-y,high,Median 5.5 (range 0-161); 17.7% TMB-H>10.,published_median,cancer_code_direct,
CRANIO,0.9,3,Brastianos 2014,PMID:24413733,low,Papillary craniopharyngioma; ~0.9/Mb nonsynonymous rate (WES n=3); CTNNB1-driven adamantinomatous also low-TMB.,small_n,cancer_code_direct,
PITNET,,,,,none,Pituitary NET; very low TMB; no cited median curated.,unknown,no_direct_source,no_published_per_mb_median_curated
SARC_DSRCT,0.72,,Wu 2022,PMID:35379887,high,EWSR1-WT1-driven; immune-cold; among lowest STS TMB.,published_median,cancer_code_direct,
SARC_GIST,0.67,,Xie 2024,PMID:39489749,high,KIT/PDGFRA-driven; very low SNV TMB but high CNV. Overrides pan-SARC.,published_median,cancer_code_direct,
NEC_LUNG_LARGECELL,8.6,,George 2018 Nat Commun,PMID:29535388,high,LCNEC; smoking signature; TMB-high tier with SCLC.,published_median,cancer_code_direct,
SARC_SMARCA4,10.6,,Cooper 2025,PMID:39802817,high,SMARCA4-deficient thoracic; smoking signature (really an undiff carcinoma); TMB-H. Overrides pan-SARC.,published_median,cancer_code_direct,
NET_MIDGUT,,,Jeong 2023,PMID:37720428,none,Jeong 2023 reports GEP-NEN median 4.7 mut/Mb and states TMB did not vary by primary site or WHO grade; no supported site-specific midgut/rectal median curated.,unknown,source_rejected_for_site_specific_value,no_supported_site_specific_median
NET_RECTAL,,,Jeong 2023,PMID:37720428,none,Jeong 2023 reports GEP-NEN median 4.7 mut/Mb and states TMB did not vary by primary site or WHO grade; no supported site-specific midgut/rectal median curated.,unknown,source_rejected_for_site_specific_value,no_supported_site_specific_median
NET_LUNG,0.4,,Fernandez-Cuesta 2014,PMID:24670920,medium,Typical/atypical pulmonary carcinoid; very low (chromatin-remodeling driven).,published_median,cancer_code_direct,
SARC_CIC,1.2,,Mangray 2018,PMID:29901569,medium,CIC-DUX4-driven; low TMB (range 0.8-1.6). Overrides pan-SARC.,published_median,renal_cic_rearranged_sarcoma_proxy,
NBL_MYCNamp,0.6,,Hwang 2019,PMID:30307503,medium,Pediatric; very low TMB; MYCN amp does NOT raise total TMB.,published_median,cancer_code_direct,
NBL_MYCNnonamp,0.6,,Hwang 2019,PMID:30307503,medium,Pediatric; very low TMB (~= MYCN-amp).,published_median,cancer_code_direct,
MBL_WNT,0.6,,Northcott 2017,PMID:28726821,low,MB subgroup; near baseline ~0.5; excellent prognosis.,published_median,cancer_code_direct,
MBL_SHH,0.8,,Northcott 2017,PMID:28726821,low,Higher than other MB subgroups; adult/TP53-mut SHH can be hypermutated.,published_median,cancer_code_direct,
MBL_G3,0.5,,Northcott 2017,PMID:28726821,low,MB Group 3; baseline low TMB.,published_median,cancer_code_direct,
MBL_G4,0.5,,Northcott 2017,PMID:28726821,low,MB Group 4; lowest mutation rate of the four.,published_median,cancer_code_direct,
LUAD_EGFR,3.5,,TCGA LUAD 2014,PMID:25079552,medium,Never-smoker; LOWER TMB than parent LUAD (8.1).,published_median,cancer_code_direct,
HCL,0.2,1,Tiacci 2011,PMID:21663470,low,"Hairy cell leukemia; BRAF V600E-driven, genomically near-silent (~5 somatic mutations, WES n=1).",small_n,cancer_code_direct,
ACINIC,2.6,,Ross 2017,PMID:28961851,low,Salivary carcinoma; mixed-histotype median; acinic-cell very low (TMB>10 in only ~3%),published_median,cancer_code_direct,
ALCL,,,,,none,Anaplastic large cell lymphoma; ALK+ has the lowest lymphoma mutation burden; no published per-Mb median.,unknown,no_direct_source,no_published_per_mb_median_curated
URETH,,,,,none,Urethral carcinoma; rare; no published per-Mb median.,unknown,no_direct_source,no_published_per_mb_median_curated
UCEC_POLE,100,,TCGA endometrial (Kandoth 2013),PMID:23636398,low,POLE-ultramutated; median TMB very high (>100 mut/Mb) - order-of-magnitude estimate,order_of_magnitude,cancer_code_direct,
UCEC_MSI,18,,TCGA endometrial (Kandoth 2013),PMID:23636398,low,MSI-H hypermutated; elevated TMB estimate,published_median,cancer_code_direct,
UCEC_CNL,2.5,,TCGA endometrial (Kandoth 2013),PMID:23636398,low,copy-number-low endometrioid; low TMB,published_median,cancer_code_direct,
UCEC_CNH,2.8,,TCGA endometrial (Kandoth 2013),PMID:23636398,low,copy-number-high serous-like; low TMB,published_median,cancer_code_direct,
COAD_MSI,46,,Chalmers 2017,PMID:28420421,medium,MSI-H/dMMR hypermutated colon; median much greater than 20/Mb (TCGA >12); MSS bulk COAD is 3.1,published_median,cancer_code_direct,
READ_MSI,46,,Chalmers 2017,PMID:28420421,medium,MSI-H/dMMR hypermutated rectal; identical dMMR biology to COAD_MSI,published_median,cancer_code_direct,
CRC,4.5,6004,Fabrizio 2018,PMID:30151257,high,Colorectal all-comers pooled median; MSS ~3.5 and MSI-H ~46 (Chalmers); umbrella value for CRC pooling,published_median,cancer_code_direct,
MENINGIOMA,0.5,,Anaplastic meningioma WGS,DOI:10.1038/s41598-018-31659-0,low,Among the lowest-TMB tumors; grade I dominant ~0.5; atypical/anaplastic rise to ~2,published_median,cancer_code_direct,
CHOROID_PLEXUS,0.5,,Thomas 2021,PMID:33249490,low,Very low (median ~20 coding mutations/tumor); hypermutant Li-Fraumeni/RRD subset is the exception,published_median,cancer_code_direct,
ATC,3.8,141,ATC genomic landscape,DOI:10.1016/j.celrep.2024.113826,medium,Anaplastic thyroid; higher than differentiated (~0.4) but below TMB-high; dedifferentiated drivers,published_median,cancer_code_direct,
THYMCA,0.7,,Chalmers 2017,PMID:28420421,low,Thymic carcinoma; very low like thymoma (mean ~0.72 mut/Mb in TET series); TMB-high in only ~7%,published_median,cancer_code_direct,
