symbol,ensembl_gene_id,therapy_class,direction,mechanism,cancer_context,strength,refs,support_type,source_anchor
DUSP6,ENSG00000139318,MAPK_EGFR_signaling,up,MPAS dual-specificity phosphatase feedback,pan_cancer,canonical,DOI:10.1038/s41698-018-0051-4;PMID:29872725,mechanism_or_marker_support,
CCND1,ENSG00000110092,MAPK_EGFR_signaling,up,MPAS MAPK-linked cell-cycle output,pan_cancer,supported,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
EPHA2,ENSG00000142627,MAPK_EGFR_signaling,up,MPAS MAPK-associated receptor output,pan_cancer,supported,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
EPHA4,ENSG00000116106,MAPK_EGFR_signaling,up,MPAS MAPK-associated receptor output,pan_cancer,supported,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
ETV4,ENSG00000175832,MAPK_EGFR_signaling,up,MPAS PEA3-family MAPK transcriptional output,pan_cancer,supported,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
ETV5,ENSG00000244405,MAPK_EGFR_signaling,up,MPAS PEA3-family MAPK transcriptional output,pan_cancer,supported,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
CHGA,ENSG00000100604,NE_differentiation,up,NE / small-cell lineage marker,PRAD;LUSC;LUAD;NBL,canonical,PMID:34290447,mechanism_or_marker_support,
SYP,ENSG00000102003,NE_differentiation,up,NE / small-cell lineage marker,PRAD;LUSC;LUAD;NBL,canonical,PMID:34290447,mechanism_or_marker_support,
ENO2,ENSG00000111674,NE_differentiation,up,Neuronal enolase,PRAD;LUSC;LUAD;NBL,canonical,PMID:34290447,mechanism_or_marker_support,
INSM1,ENSG00000173404,NE_differentiation,up,NE transcription factor,PRAD;LUSC;LUAD;NBL,canonical,PMID:29438167,mechanism_or_marker_support,
ASCL1,ENSG00000139352,NE_differentiation,up,NE-lineage TF,PRAD;LUSC;LUAD;NBL,canonical,PMID:34290447,mechanism_or_marker_support,
POU3F2,ENSG00000184486,NE_differentiation,up,NE-lineage TF (Brn2),PRAD;LUSC;LUAD;NBL,canonical,,uncited_curated,
NEUROD1,ENSG00000162992,NE_differentiation,up,NE-lineage TF,LUSC;LUAD;NBL,canonical,PMID:34290447,mechanism_or_marker_support,
NCAM1,ENSG00000149294,NE_differentiation,up,NE surface marker (CD56),PRAD;LUSC;LUAD;NBL,canonical,,uncited_curated,
VIM,ENSG00000026025,EMT,up,Mesenchymal intermediate filament,BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
FN1,ENSG00000115414,EMT,up,Extracellular matrix (also high in CAFs),BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
CDH2,ENSG00000170558,EMT,up,N-cadherin cadherin switch,BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
SNAI1,ENSG00000124216,EMT,up,EMT TF (Snail),BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
SNAI2,ENSG00000019549,EMT,up,EMT TF (Slug),BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
ZEB1,ENSG00000148516,EMT,up,EMT TF,BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
ZEB2,ENSG00000169554,EMT,up,EMT TF,BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
TWIST1,ENSG00000122691,EMT,up,EMT TF,BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
CDH1,ENSG00000039068,EMT,down,E-cadherin — epithelial marker lost in EMT,BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
EPCAM,ENSG00000119888,EMT,down,Epithelial marker lost in EMT,BRCA;LUAD;COAD;PRAD;SKCM,canonical,PMID:19153669,mechanism_or_marker_support,
CA9,ENSG00000107159,hypoxia,up,HIF-transactivated carbonic anhydrase,pan_cancer,canonical,PMID:11752456,pathway_signature,HIF/hypoxia target gene marker; needs source-local target-gene anchor
VEGFA,ENSG00000112715,hypoxia,up,HIF-transactivated,pan_cancer,canonical,PMID:11752456,pathway_signature,HIF/hypoxia target gene marker; needs source-local target-gene anchor
SLC2A1,ENSG00000117394,hypoxia,up,HIF-transactivated (GLUT1),pan_cancer,canonical,PMID:11752456,pathway_signature,HIF/hypoxia target gene marker; needs source-local target-gene anchor
PGK1,ENSG00000102144,hypoxia,up,HIF-transactivated glycolysis gene,pan_cancer,supported,,pathway_signature,HIF/hypoxia target gene marker; needs source-local target-gene anchor
LDHA,ENSG00000134333,hypoxia,up,HIF-transactivated,pan_cancer,supported,,pathway_signature,HIF/hypoxia target gene marker; needs source-local target-gene anchor
NDRG1,ENSG00000104419,hypoxia,up,HIF-transactivated,pan_cancer,supported,,pathway_signature,HIF/hypoxia target gene marker; needs source-local target-gene anchor
BNIP3,ENSG00000176171,hypoxia,up,HIF-transactivated pro-autophagic,pan_cancer,supported,,pathway_signature,HIF/hypoxia target gene marker; needs source-local target-gene anchor
ISG15,ENSG00000187608,IFN_response,up,IFN-stimulated gene (ISG),pan_cancer,canonical,,uncited_curated,
IFIT1,ENSG00000185745,IFN_response,up,IFN-stimulated antiviral,pan_cancer,canonical,,uncited_curated,
IFIT3,ENSG00000119917,IFN_response,up,IFN-stimulated antiviral,pan_cancer,canonical,,uncited_curated,
MX1,ENSG00000157601,IFN_response,up,IFN-stimulated (Mx1),pan_cancer,canonical,,uncited_curated,
OAS1,ENSG00000089127,IFN_response,up,IFN-stimulated (2-5A synthetase),pan_cancer,canonical,,uncited_curated,
OAS2,ENSG00000111335,IFN_response,up,IFN-stimulated (2-5A synthetase),pan_cancer,canonical,,uncited_curated,
STAT1,ENSG00000115415,IFN_response,up,IFN-signal transducer,pan_cancer,canonical,,uncited_curated,
IRF7,ENSG00000185507,IFN_response,up,IFN-regulatory factor,pan_cancer,canonical,,uncited_curated,
CXCL10,ENSG00000169245,IFN_response,up,IFN-stimulated chemokine,pan_cancer,canonical,,uncited_curated,
CXCL9,ENSG00000138755,IFN_response,up,IFN-stimulated chemokine,pan_cancer,canonical,,uncited_curated,
TGFB2,ENSG00000092969,aPD1_exclusion_TGFb_response,up,TGF-beta2 ligand; stromal T-cell-exclusion cytokine,pan_cancer,supported,PMID:29443960,mechanism_or_marker_support,
WNT11,ENSG00000085741,aPD1_exclusion_Wnt,up,non-canonical Wnt ligand; T-cell-excluded phenotype,pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
DKK1,ENSG00000107984,aPD1_exclusion_Wnt,up,Wnt modulator (DKK1); immunosuppressive in T-cell-excluded tumors,pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
AXIN2,ENSG00000168646,aPD1_exclusion_Wnt_target,up,beta-catenin transcriptional target; true Wnt-ON activation readout (vs ligand/CTNNB1 level),pan_cancer,supported,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
LGR5,ENSG00000139292,aPD1_exclusion_Wnt_target,up,beta-catenin target; stem/Wnt-active marker,pan_cancer,supported,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
NKD1,ENSG00000140807,aPD1_exclusion_Wnt_target,up,beta-catenin negative-feedback target; Wnt-ON marker,pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
RNF43,ENSG00000108375,aPD1_exclusion_Wnt_target,up,beta-catenin target E3 ligase; Wnt-ON marker,pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
NOTUM,ENSG00000185269,aPD1_exclusion_Wnt_target,up,beta-catenin target; secreted Wnt feedback; Wnt-ON marker,pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
SP5,ENSG00000204335,aPD1_exclusion_Wnt_target,up,beta-catenin target transcription factor,pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
TBX3,ENSG00000135111,aPD1_exclusion_Wnt_target,up,beta-catenin target; Wnt-active (HCC),pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
LECT2,ENSG00000145826,aPD1_exclusion_Wnt_target,up,beta-catenin-target hepatokine; Wnt-active HCC,pan_cancer,emerging,PMID:25970248,pathway_mechanism_not_exact_gene_set,beta-catenin immune-exclusion mechanism; exact Wnt target gene set needs separate anchor
VEGFA,ENSG00000112715,aPD1_exclusion_angiogenesis,up,VEGF-A; abnormal vasculature + T-cell exclusion; anti-VEGF+ICB synergy (RCC/HCC/endometrial),pan_cancer,supported,PMID:25601652,mechanism_plus_marker_proxy,VEGFA checkpoint mechanism; endothelial marker list needs angiogenesis signature anchor
KDR,ENSG00000128052,aPD1_exclusion_angiogenesis,up,VEGFR2; angiogenic endothelium,pan_cancer,supported,PMID:25601652,mechanism_plus_marker_proxy,VEGFA checkpoint mechanism; endothelial marker list needs angiogenesis signature anchor
ANGPT2,ENSG00000091879,aPD1_exclusion_angiogenesis,up,angiopoietin-2; vascular destabilization and immunosuppression,pan_cancer,emerging,PMID:25601652,mechanism_plus_marker_proxy,VEGFA checkpoint mechanism; endothelial marker list needs angiogenesis signature anchor
PECAM1,ENSG00000261371,aPD1_exclusion_angiogenesis,up,CD31 endothelial content; vascular barrier proxy,pan_cancer,emerging,PMID:25601652,mechanism_plus_marker_proxy,VEGFA checkpoint mechanism; endothelial marker list needs angiogenesis signature anchor
ESM1,ENSG00000164283,aPD1_exclusion_angiogenesis,up,endocan; endothelial tip-cell/angiogenesis marker,pan_cancer,emerging,PMID:25601652,mechanism_plus_marker_proxy,VEGFA checkpoint mechanism; endothelial marker list needs angiogenesis signature anchor
ENTPD1,ENSG00000138185,aPD1_exclusion_adenosine,up,CD39; ATP-to-AMP first step of immunosuppressive adenosine,pan_cancer,supported,DOI:10.1038/nrc.2017.86,mechanism_or_marker_support,
NT5E,ENSG00000135318,aPD1_exclusion_adenosine,up,CD73; AMP-to-adenosine; suppresses CD8 effector function,pan_cancer,supported,DOI:10.1038/nrc.2017.86,mechanism_or_marker_support,
ADORA2A,ENSG00000128271,aPD1_exclusion_adenosine,up,adenosine A2A receptor; T-cell suppression,pan_cancer,emerging,DOI:10.1038/nrc.2017.86,mechanism_or_marker_support,
ADORA2B,ENSG00000170425,aPD1_exclusion_adenosine,up,adenosine A2B receptor; myeloid immunosuppression,pan_cancer,emerging,DOI:10.1038/nrc.2017.86,mechanism_or_marker_support,
B2M,ENSG00000166710,aPD1_antigen_presentation,up,beta-2-microglobulin; MHC-I light chain; loss is a canonical aPD1 resistance mechanism,pan_cancer,canonical,PMID:29070816,mechanism_or_marker_support,
HLA-A,ENSG00000206503,aPD1_antigen_presentation,up,MHC class I heavy chain (IFN-inducible),pan_cancer,canonical,PMID:29070816,mechanism_or_marker_support,
HLA-B,ENSG00000234745,aPD1_antigen_presentation,up,MHC class I heavy chain (IFN-inducible),pan_cancer,canonical,PMID:29070816,mechanism_or_marker_support,
HLA-C,ENSG00000204525,aPD1_antigen_presentation,up,MHC class I heavy chain (IFN-inducible),pan_cancer,canonical,PMID:29070816,mechanism_or_marker_support,
TAP1,ENSG00000168394,aPD1_antigen_presentation,up,peptide transporter; antigen processing (IFN-inducible),pan_cancer,canonical,PMID:29070816,mechanism_or_marker_support,
TAP2,ENSG00000204267,aPD1_antigen_presentation,up,peptide transporter; antigen processing,pan_cancer,canonical,PMID:29070816,mechanism_or_marker_support,
TAPBP,ENSG00000231925,aPD1_antigen_presentation,up,tapasin; MHC-I peptide loading,pan_cancer,supported,PMID:29070816,mechanism_or_marker_support,
NLRC5,ENSG00000140853,aPD1_antigen_presentation,up,master transcriptional activator of MHC-I genes,pan_cancer,supported,PMID:29070816,mechanism_or_marker_support,
PSMB8,ENSG00000204264,aPD1_antigen_presentation,up,immunoproteasome subunit LMP7,pan_cancer,supported,PMID:29070816,mechanism_or_marker_support,
PSMB9,ENSG00000240065,aPD1_antigen_presentation,up,immunoproteasome subunit LMP2,pan_cancer,supported,PMID:29070816,mechanism_or_marker_support,
HLA-E,ENSG00000204592,aPD1_antigen_presentation,up,non-classical MHC-I; NK inhibitory ligand (context-dependent),pan_cancer,emerging,PMID:29070816,mechanism_or_marker_support,
HLA-F,ENSG00000204642,aPD1_antigen_presentation,up,non-classical MHC-I,pan_cancer,emerging,PMID:29070816,mechanism_or_marker_support,
CD274,ENSG00000120217,aPD1_circular_checkpoints,up,PD-L1; IFN-induced; a READOUT of ongoing immune engagement (not causal),pan_cancer,canonical,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
IDO1,ENSG00000131203,aPD1_circular_checkpoints,up,IFN-induced tryptophan catabolism; response readout (not causal),pan_cancer,canonical,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
LAG3,ENSG00000089692,aPD1_circular_checkpoints,up,exhaustion checkpoint; infiltrate readout,pan_cancer,supported,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
HAVCR2,ENSG00000135077,aPD1_circular_checkpoints,up,TIM-3 exhaustion checkpoint; infiltrate readout,pan_cancer,supported,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
PDCD1,ENSG00000188389,aPD1_circular_checkpoints,up,PD-1; T-cell exhaustion; infiltrate readout,pan_cancer,canonical,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
FOXP3,ENSG00000049768,aPD1_circular_treg,up,regulatory T-cell master TF; suppressive-infiltrate readout (not causal),pan_cancer,canonical,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
CTLA4,ENSG00000163599,aPD1_circular_treg,up,Treg/activation checkpoint; infiltrate readout,pan_cancer,canonical,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
IL2RA,ENSG00000134460,aPD1_circular_treg,up,CD25; Treg marker,pan_cancer,supported,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
IKZF2,ENSG00000030419,aPD1_circular_treg,up,Helios; Treg stability marker,pan_cancer,emerging,DOI:10.1126/scitranslmed.3006504,mechanism_or_marker_support,
