rule_id,cancer_code,label,gene_a,gene_a_ensembl_id,gene_b,gene_b_ensembl_id,matching,min_total_support,promote_report_scope,confidence,basis,confirmatory_tests,caveat,source
ewsr1_wt1_dsrct,SARC_DSRCT,Desmoplastic small round cell tumor,EWSR1,ENSG00000182944,WT1,ENSG00000184937,oriented_or_unoriented,1,true,high,EWSR1--WT1 is the defining fusion of DSRCT,EWSR1-WT1 fusion confirmation; WT1 C-terminal IHC; sarcoma pathology review,Use with peritoneal/serosal site and morphology; not inferred from EWSR1 expression alone,PMID:8187063
pax_foxo1_arms,SARC_RMS_ARMS,Fusion-positive alveolar rhabdomyosarcoma,PAX3;PAX7,ENSG00000135903;ENSG00000009709,FOXO1,ENSG00000150907,oriented_or_unoriented,1,true,high,PAX3/7--FOXO1 fusions define fusion-positive alveolar rhabdomyosarcoma in the appropriate myogenic tumor context,FOXO1 fusion testing; myogenic IHC; pediatric/soft-tissue pathology review,"Strong ARMS evidence in a myogenic soft-tissue tumor, but rare sinonasal PAX3--FOXO1 tumors exist; review site and morphology before final subtype assignment",PMID:22454413;PMID:26008753
pax3_ncoa_rms_context,,PAX3::NCOA1/2 RMS-compatible rearrangement,PAX3,ENSG00000135903,NCOA1;NCOA2,ENSG00000084676;ENSG00000140396,oriented_or_unoriented,1,false,moderate,PAX3--NCOA1/2 has been reported in rhabdomyosarcoma and can preserve PAX3 DNA-binding with coactivator activation domains,FOXO1/PAX3 fusion panel; myogenic IHC; sarcoma pathology review,Not assigned to fusion-positive ARMS here because non-FOXO1 PAX3 partners can map to different RMS contexts,PMCID:PMC12209299
pax3_maml3_context,,PAX3::MAML3 PAX3-rearranged neoplasm,PAX3,ENSG00000135903,MAML3,ENSG00000196782,oriented_or_unoriented,1,false,high,PAX3--MAML3 is recurrent in biphenotypic sinonasal sarcoma and has also been reported in rare fusion-positive alveolar rhabdomyosarcoma,Sinonasal/sarcoma pathology review; PAX3/MAML3 fusion confirmation; myogenic/neural IHC,"Do not collapse PAX3--MAML3 to ARMS or BSNS from fusion alone; site, methylation class, and morphology are decisive",PMID:24859338;PMID:39147032
aspscr1_tfe3_asps,SARC_ASPS,Alveolar soft part sarcoma,ASPSCR1,ENSG00000169696,TFE3,ENSG00000068323,oriented_or_unoriented,1,true,high,ASPSCR1--TFE3 is the canonical fusion in alveolar soft part sarcoma,TFE3 IHC; fusion confirmation; sarcoma pathology review,TFE3 rearrangements occur in several tumors; partner and morphology matter,PMID:11244503
col1a1_pdgfb_dfsp,SARC_DFSP,Dermatofibrosarcoma protuberans,COL1A1,ENSG00000108821,PDGFB,ENSG00000100311,oriented_or_unoriented,1,true,high,COL1A1--PDGFB is the canonical DFSP fusion and supports imatinib-sensitive biology,COL1A1-PDGFB fusion confirmation; CD34 IHC; dermatopathology review,Use with skin/soft-tissue morphology; does not replace pathology review,PMID:8988177
nab2_stat6_sft,SARC_SFT,Solitary fibrous tumor,NAB2,ENSG00000166886,STAT6,ENSG00000166888,oriented_or_unoriented,1,true,high,NAB2--STAT6 is the defining fusion of solitary fibrous tumor,STAT6 nuclear IHC; fusion confirmation when needed; pathology review,Promotes SFT from direct fusion evidence; behavior still depends on histologic risk,PMID:23313954
ewsr1_atf1_creb1_ccs,SARC_CCS,Clear cell sarcoma,EWSR1,ENSG00000182944,ATF1;CREB1,ENSG00000123268;ENSG00000118260,oriented_or_unoriented,1,true,high,EWSR1--ATF1/CREB1 supports clear cell sarcoma rather than melanoma by expression alone,Fusion confirmation; melanocytic marker review; sarcoma pathology review,Melanocytic expression overlap can confuse RNA-only classifiers; fusion is the key tiebreaker,PMID:8401579
wwtr1_camta1_ehe,SARC_EHE,Epithelioid hemangioendothelioma,WWTR1,ENSG00000018408,CAMTA1,ENSG00000171735,oriented_or_unoriented,1,true,high,WWTR1--CAMTA1 is the common defining fusion of epithelioid hemangioendothelioma,CAMTA1 IHC; fusion confirmation; vascular tumor pathology review,YAP1--TFE3 defines an alternate EHE subset; do not confuse with YAP1--NUTM1,PMID:21885404
yap1_tfe3_ehe,SARC_EHE,Epithelioid hemangioendothelioma,YAP1,ENSG00000137693,TFE3,ENSG00000068323,oriented_or_unoriented,1,true,high,YAP1--TFE3 defines an alternate EHE subset,TFE3/CAMTA1 IHC; fusion confirmation; vascular tumor pathology review,This rule is specific to YAP1--TFE3 EHE and not a YAP1--NUTM1 rule,PMID:21885404
fus_creb3l_lgfms,SARC_LGFMS,Low-grade fibromyxoid sarcoma,FUS,ENSG00000089280,CREB3L1;CREB3L2,ENSG00000157613;ENSG00000182158,oriented_or_unoriented,1,true,high,FUS--CREB3L1/2 fusions are canonical for low-grade fibromyxoid sarcoma,MUC4 IHC; fusion confirmation; sarcoma pathology review,Late-recurring biology depends on pathology; expression alone is insufficient,PMID:15139001
nr4a3_emc,SARC_EMC,Extraskeletal myxoid chondrosarcoma,EWSR1;TAF15;TCF12,ENSG00000182944;ENSG00000270647;ENSG00000140262,NR4A3,ENSG00000119508,oriented_or_unoriented,1,true,high,NR4A3 rearranged fusions are defining for extraskeletal myxoid chondrosarcoma,NR4A3 fusion confirmation; sarcoma pathology review,NR4A3 expression can support but direct fusion is more specific,DOI:10.1093/hmg/4.12.2219
etv6_ntrk3_ifs,SARC_IFS,Infantile fibrosarcoma,ETV6,ENSG00000139083,NTRK3,ENSG00000140538,oriented_or_unoriented,1,true,high,ETV6--NTRK3 supports infantile fibrosarcoma and predicts TRK inhibitor relevance,NTRK fusion confirmation; pediatric/soft-tissue pathology review,"ETV6--NTRK3 also appears in other entities; age, site, and morphology matter",PMID:29466156
myb_nfib_adcc,ADCC,Adenoid cystic carcinoma,MYB;MYBL1,ENSG00000118513;ENSG00000185697,NFIB,ENSG00000147862,oriented_or_unoriented,1,true,high,MYB/MYBL1--NFIB supports adenoid cystic carcinoma in the right salivary/lacrimal/breast context,MYB/MYBL1 rearrangement testing; MYB IHC; salivary/lacrimal pathology review,Requires site and morphology; MYB expression alone is not specific,PMID:20702610
pml_rara_apl,LAML_APL,Acute promyelocytic leukemia,PML,ENSG00000140464,RARA,ENSG00000131759,oriented_or_unoriented,1,true,high,PML--RARA is defining and treatment-critical for acute promyelocytic leukemia,Urgent hematopathology review; PML-RARA confirmation; coagulopathy assessment,Therapeutic urgency is high; RNA expression classifier alone is not enough,PMID:1652369
bcr_abl1_cml,CML,Chronic myeloid leukemia,BCR,ENSG00000186716,ABL1,ENSG00000097007,oriented_or_unoriented,1,true,high,BCR--ABL1 supports CML or Ph-positive acute leukemia depending on clinical context,BCR-ABL1 assay; hematopathology review; marrow/peripheral blood context,Does not distinguish CML from Ph-positive acute leukemia without clinical and morphology context,PMID:2989692
