burden_category,us_incidence_pct,us_mortality_pct,world_incidence_pct,world_mortality_pct,confidence,source,notes,aggregation,source_anchor
brain_cns,1.4,2.7,1.6,2.5,medium,ACS-CFF2024;GLOBOCAN2022,brain+CNS incl glioma (GBM/LGG),brain+CNS,PMID:38230766;DOI:10.3322/caac.21834
non_hodgkin_lymphoma,4.0,3.0,2.8,2.5,medium,ACS-CFF2024;GLOBOCAN2022,incl DLBCL/FL/MCL/BL,NHL_aggregate (DLBCL+FL+MCL+BL+other),PMID:38230766;DOI:10.3322/caac.21834
hodgkin_lymphoma,0.4,0.1,0.4,0.2,medium,ACS-CFF2024;GLOBOCAN2022,highly curable,single_site,PMID:38230766;DOI:10.3322/caac.21834
multiple_myeloma,1.8,2.0,1.0,1.1,medium,ACS-CFF2024;GLOBOCAN2022,plasma-cell,single_site,PMID:38230766;DOI:10.3322/caac.21834
leukemia_AML,1.0,1.9,0.9,1.5,low,ACS-CFF2024,deadliest leukemia; world approx,AML (subset of leukemia),PMID:38230766
leukemia_all_other,2.1,2.0,1.5,1.6,medium,ACS-CFF2024;GLOBOCAN2022,leukemia excl AML (CLL+CML+ALL+other),leukemia excl AML (CLL+CML+ALL+other),PMID:38230766;DOI:10.3322/caac.21834
mesothelioma,0.15,0.4,0.1,0.2,low,ACS-CFF2024,asbestos-linked; very low survival,single_site,PMID:38230766
testicular_germ_cell,0.5,0.05,0.5,0.1,medium,ACS-CFF2024;GLOBOCAN2022,young men; chemo-curable,single_site,PMID:38230766;DOI:10.3322/caac.21834
adrenal,0.04,0.04,0.05,0.05,low,literature,adrenocortical+pheo/paraganglioma; very rare,adrenocortical+pheochromocytoma/paraganglioma,curated_literature
bone_and_joint,0.2,0.34,0.2,0.2,low,ACS-CFF2024;GLOBOCAN2022,primary bone (OS/EWS/CHON/CHOR),primary_bone (OS+EWS+CHON+CHOR),PMID:38230766;DOI:10.3322/caac.21834
soft_tissue_sarcoma,0.65,0.4,0.4,0.3,low,ACS-CFF2024;literature,STS excl bone,STS excl bone,PMID:38230766;curated_literature
gallbladder_biliary,0.62,0.77,0.9,1.0,medium,ACS-CFF2024;GLOBOCAN2022,extrahepatic biliary+gallbladder (intrahepatic=liver),extrahepatic_biliary+gallbladder (intrahepatic=liver),PMID:38230766;DOI:10.3322/caac.21834
small_intestine,0.62,0.36,0.3,0.2,medium,ACS-CFF2024;GLOBOCAN2022,carcinoid+adeno,carcinoid+adenocarcinoma,PMID:38230766;DOI:10.3322/caac.21834
anus,0.53,0.36,0.3,0.2,medium,ACS-CFF2024;GLOBOCAN2022,HPV-driven SCC,single_site,PMID:38230766;DOI:10.3322/caac.21834
vulva,0.34,0.27,0.2,0.1,medium,ACS-CFF2024;GLOBOCAN2022,HPV+lichen sclerosus,single_site,PMID:38230766;DOI:10.3322/caac.21834
vagina,0.07,0.07,0.1,0.1,low,ACS-CFF2024;GLOBOCAN2022,rare HPV-driven,single_site,PMID:38230766;DOI:10.3322/caac.21834
penis,0.05,0.01,0.2,0.1,low,ACS-CFF2024;GLOBOCAN2022,world higher,single_site,PMID:38230766;DOI:10.3322/caac.21834
eye_ocular,0.17,0.06,0.05,0.04,low,ACS-CFF2024;GLOBOCAN2022,uveal melanoma + retinoblastoma,uveal_melanoma+retinoblastoma,PMID:38230766;DOI:10.3322/caac.21834
kaposi_sarcoma,0.02,0.02,0.2,0.2,low,GLOBOCAN2022;literature,HIV/HHV8; world>>US,single_site,DOI:10.3322/caac.21834;curated_literature
other_and_unknown_primary,3.94,12.15,6.0,8.71,medium,ACS-CFF2024;GLOBOCAN2022,ill-defined/unknown primary + minor untabulated sites (residual to 100%),residual_to_100 (ill-defined/unknown primary + minor untabulated sites),PMID:38230766;DOI:10.3322/caac.21834
non_melanoma_skin,0.0,0.3,0.0,0.2,low,ACS-CFF2024,keratinocyte BCC/cSCC; excluded from standard incidence registries (not reportable); small mortality share,keratinocyte_BCC+cSCC (non-reportable; excluded from incidence registries),PMID:38230766
