member_ensembl_gene_id,canonical_ensembl_gene_id,canonical_symbol,group_size
ENSG00000291237,ENSG00000112096,SOD2,2
ENSG00000112459,ENSG00000112459,OR14J1,2
ENSG00000225291,ENSG00000112459,OR14J1,2
ENSG00000112474,ENSG00000112474,HSD17B8,5
ENSG00000225312,ENSG00000112474,HSD17B8,5
ENSG00000228357,ENSG00000112474,HSD17B8,5
ENSG00000228712,ENSG00000112474,HSD17B8,5
ENSG00000232357,ENSG00000112474,HSD17B8,5
ENSG00000112493,ENSG00000112493,TAPBP,2
ENSG00000236490,ENSG00000112493,TAPBP,2
ENSG00000112514,ENSG00000112514,CUTA,2
ENSG00000226492,ENSG00000112514,CUTA,2
ENSG00000117676,ENSG00000117676,RPS6KA1,2
ENSG00000281877,ENSG00000117676,RPS6KA1,2
ENSG00000118181,ENSG00000118181,RPS25,2
ENSG00000280831,ENSG00000118181,RPS25,2
ENSG00000119440,ENSG00000119440,LCN1P1,2
ENSG00000280820,ENSG00000119440,LCN1P1,2
ENSG00000119632,ENSG00000119632,IFI27L2,2
ENSG00000276879,ENSG00000119632,IFI27L2,2
ENSG00000120952,ENSG00000120952,PRAMEF2,2
ENSG00000282817,ENSG00000120952,PRAMEF2,2
ENSG00000121377,ENSG00000121377,TAS2R7,3
ENSG00000273326,ENSG00000121377,TAS2R7,3
ENSG00000274327,ENSG00000121377,TAS2R7,3
ENSG00000121380,ENSG00000121380,BCL2L14,2
ENSG00000281449,ENSG00000121380,BCL2L14,2
ENSG00000122728,ENSG00000122728,TAF1L,2
ENSG00000256239,ENSG00000122728,TAF1L,2
ENSG00000129277,ENSG00000129277,CCL4,2
ENSG00000275824,ENSG00000129277,CCL4,2
ENSG00000129282,ENSG00000129282,MRM1,2
ENSG00000274853,ENSG00000129282,MRM1,2
ENSG00000130023,ENSG00000130023,ERMARD,2
ENSG00000276187,ENSG00000130023,ERMARD,2
ENSG00000130283,ENSG00000130283,GDF1,2
ENSG00000223802,ENSG00000130283,GDF1,2
ENSG00000130561,ENSG00000130561,SAG,2
ENSG00000281857,ENSG00000130561,SAG,2
ENSG00000131007,ENSG00000131007,TTTY9B,2
ENSG00000290716,ENSG00000131007,TTTY9B,2
ENSG00000131538,ENSG00000131538,TTTY6,2
ENSG00000131548,ENSG00000131538,TTTY6,2
ENSG00000132832,ENSG00000132832,,2
ENSG00000244558,ENSG00000132832,,2
ENSG00000133460,ENSG00000133460,SLC2A11,2
ENSG00000275744,ENSG00000133460,SLC2A11,2
ENSG00000137313,ENSG00000137313,TRIM26,3
ENSG00000226060,ENSG00000137313,TRIM26,3
ENSG00000228881,ENSG00000137313,TRIM26,3
ENSG00000137343,ENSG00000137343,ATAT1,3
ENSG00000231257,ENSG00000137343,ATAT1,3
ENSG00000235658,ENSG00000137343,ATAT1,3
ENSG00000137345,ENSG00000137345,MOG,2
ENSG00000234623,ENSG00000137345,MOG,2
ENSG00000137384,ENSG00000137384,TRIM15,2
ENSG00000227147,ENSG00000137384,TRIM15,2
ENSG00000137404,ENSG00000137404,NRM,7
ENSG00000206484,ENSG00000137404,NRM,7
ENSG00000228854,ENSG00000137404,NRM,7
ENSG00000228867,ENSG00000137404,NRM,7
ENSG00000234809,ENSG00000137404,NRM,7
ENSG00000235773,ENSG00000137404,NRM,7
ENSG00000236843,ENSG00000137404,NRM,7
ENSG00000140067,ENSG00000140067,FAM181A,2
ENSG00000273533,ENSG00000140067,FAM181A,2
ENSG00000141141,ENSG00000141141,DDX52,2
ENSG00000277594,ENSG00000141141,DDX52,2
ENSG00000141720,ENSG00000141720,PIP4K2B,2
ENSG00000277292,ENSG00000141720,PIP4K2B,2
ENSG00000142188,ENSG00000142188,TMEM50B,2
ENSG00000263160,ENSG00000142188,TMEM50B,2
ENSG00000142619,ENSG00000142619,PADI3,2
ENSG00000280549,ENSG00000142619,PADI3,2
ENSG00000143554,ENSG00000143554,SLC27A3,2
ENSG00000263163,ENSG00000143554,SLC27A3,2
ENSG00000143624,ENSG00000143624,INTS3,2
ENSG00000262826,ENSG00000143624,INTS3,2
ENSG00000144792,ENSG00000144792,ZNF660,2
ENSG00000280661,ENSG00000144792,ZNF660,2
ENSG00000145337,ENSG00000145337,PYURF,2
ENSG00000255072,ENSG00000145337,PYURF,2
ENSG00000146707,ENSG00000146707,POMZP3,2
ENSG00000276464,ENSG00000146707,POMZP3,2
ENSG00000147926,ENSG00000147926,SPATA31A3,2
ENSG00000275969,ENSG00000147926,SPATA31A3,2
ENSG00000148248,ENSG00000148248,SURF4,2
ENSG00000280951,ENSG00000148248,SURF4,2
ENSG00000148297,ENSG00000148297,MED22,2
ENSG00000281022,ENSG00000148297,MED22,2
ENSG00000148303,ENSG00000148303,RPL7A,2
ENSG00000280858,ENSG00000148303,RPL7A,2
ENSG00000148362,ENSG00000148362,PAXX,2
ENSG00000310560,ENSG00000148362,PAXX,2
ENSG00000149527,ENSG00000149527,PLCH2,2
ENSG00000276429,ENSG00000149527,PLCH2,2
ENSG00000150261,ENSG00000150261,OR8K1,2
ENSG00000263328,ENSG00000150261,OR8K1,2
ENSG00000151418,ENSG00000151418,ATP6V1G3,2
ENSG00000263014,ENSG00000151418,ATP6V1G3,2
ENSG00000151790,ENSG00000151790,TDO2,2
ENSG00000262635,ENSG00000151790,TDO2,2
ENSG00000153406,ENSG00000153406,NMRAL1,2
ENSG00000274684,ENSG00000153406,NMRAL1,2
ENSG00000153498,ENSG00000153498,SPACA7,2
ENSG00000275865,ENSG00000153498,SPACA7,2
ENSG00000155380,ENSG00000155380,SLC16A1,2
ENSG00000281917,ENSG00000155380,SLC16A1,2
ENSG00000157045,ENSG00000157045,NTAN1,2
ENSG00000275779,ENSG00000157045,NTAN1,2
ENSG00000157654,ENSG00000157654,PALM2AKAP2,2
ENSG00000243444,ENSG00000157654,PALM2AKAP2,2
ENSG00000157870,ENSG00000157870,PRXL2B,2
ENSG00000275125,ENSG00000157870,PRXL2B,2
ENSG00000157873,ENSG00000157873,TNFRSF14,2
ENSG00000273936,ENSG00000157873,TNFRSF14,2
ENSG00000159314,ENSG00000159314,ARHGAP27,2
ENSG00000276907,ENSG00000159314,ARHGAP27,2
ENSG00000159339,ENSG00000159339,PADI4,2
ENSG00000280908,ENSG00000159339,PADI4,2
ENSG00000160323,ENSG00000160323,ADAMTS13,2
ENSG00000281244,ENSG00000160323,ADAMTS13,2
ENSG00000160325,ENSG00000160325,CACFD1,2
ENSG00000280479,ENSG00000160325,CACFD1,2
ENSG00000160326,ENSG00000160326,SLC2A6,2
ENSG00000281165,ENSG00000160326,SLC2A6,2
ENSG00000160439,ENSG00000160439,RDH13,2
ENSG00000276684,ENSG00000160439,RDH13,2
ENSG00000160695,ENSG00000160695,VPS11,2
ENSG00000280616,ENSG00000160695,VPS11,2
ENSG00000160932,ENSG00000160932,LY6E,2
ENSG00000278032,ENSG00000160932,LY6E,2
ENSG00000161149,ENSG00000161149,TUBA3FP,2
ENSG00000284130,ENSG00000161149,TUBA3FP,2
ENSG00000161326,ENSG00000161326,DUSP14,3
ENSG00000275932,ENSG00000161326,DUSP14,3
ENSG00000276023,ENSG00000161326,DUSP14,3
ENSG00000161570,ENSG00000161570,CCL5,2
ENSG00000274233,ENSG00000161570,CCL5,2
ENSG00000161572,ENSG00000161572,LYZL6,2
ENSG00000277042,ENSG00000161572,LYZL6,2
ENSG00000161573,ENSG00000161573,CCL16,2
ENSG00000275095,ENSG00000161573,CCL16,2
ENSG00000161574,ENSG00000161574,CCL15-CCL14,2
ENSG00000282521,ENSG00000161574,CCL15-CCL14,2
ENSG00000162840,ENSG00000162840,MT2P1,2
ENSG00000278061,ENSG00000162840,MT2P1,2
ENSG00000164871,ENSG00000164871,SPAG11B,2
ENSG00000178287,ENSG00000164871,SPAG11B,2
ENSG00000165943,ENSG00000165943,MOAP1,2
ENSG00000278268,ENSG00000165943,MOAP1,2
ENSG00000165948,ENSG00000165948,IFI27L1,2
ENSG00000276880,ENSG00000165948,IFI27L1,2
ENSG00000165949,ENSG00000165949,IFI27,2
ENSG00000275214,ENSG00000165949,IFI27,2
ENSG00000166157,ENSG00000166157,TPTE,2
ENSG00000273840,ENSG00000166157,TPTE,2
ENSG00000167230,ENSG00000167230,C17orf78,2
ENSG00000278145,ENSG00000167230,C17orf78,2
ENSG00000167236,ENSG00000167236,CCL23,2
ENSG00000276114,ENSG00000167236,CCL23,2
ENSG00000167634,ENSG00000167634,NLRP7,2
ENSG00000274571,ENSG00000167634,NLRP7,2
ENSG00000168379,ENSG00000168379,HLA-DPB2,2
ENSG00000225132,ENSG00000168379,HLA-DPB2,2
ENSG00000168384,ENSG00000168384,HLA-DPA1,2
ENSG00000235844,ENSG00000168384,HLA-DPA1,2
ENSG00000168918,ENSG00000168918,INPP5D,2
ENSG00000281614,ENSG00000168918,INPP5D,2
ENSG00000169548,ENSG00000169548,ZNF280A,2
ENSG00000275499,ENSG00000169548,ZNF280A,2
ENSG00000169763,ENSG00000169763,PRYP3,2
ENSG00000172283,ENSG00000169763,PRYP3,2
ENSG00000169953,ENSG00000169953,HSFY2,2
ENSG00000172468,ENSG00000169953,HSFY2,2
ENSG00000169964,ENSG00000169964,TMEM42,2
ENSG00000280516,ENSG00000169964,TMEM42,2
ENSG00000170099,ENSG00000170099,SERPINA6,2
ENSG00000277405,ENSG00000170099,SERPINA6,2
ENSG00000170356,ENSG00000170356,OR2A20P,2
ENSG00000228960,ENSG00000170356,OR2A20P,2
ENSG00000170688,ENSG00000170688,OR5E1P,2
ENSG00000281056,ENSG00000170688,OR5E1P,2
ENSG00000170889,ENSG00000170889,RPS9,3
ENSG00000274646,ENSG00000170889,RPS9,3
ENSG00000274950,ENSG00000170889,RPS9,3
ENSG00000171102,ENSG00000171102,OBP2B,2
ENSG00000280584,ENSG00000171102,OBP2B,2
ENSG00000172232,ENSG00000172232,AZU1,2
ENSG00000278624,ENSG00000172232,AZU1,2
ENSG00000172381,ENSG00000172381,OR6Q1,2
ENSG00000279051,ENSG00000172381,OR6Q1,2
ENSG00000172524,ENSG00000172524,TRIM40,2
ENSG00000228001,ENSG00000172524,TRIM40,2
ENSG00000172660,ENSG00000172660,TAF15,2
ENSG00000276833,ENSG00000172660,TAF15,2
ENSG00000172673,ENSG00000172673,THEMIS,2
ENSG00000275122,ENSG00000172673,THEMIS,2
ENSG00000172850,ENSG00000172850,LSM2,5
ENSG00000224979,ENSG00000172850,LSM2,5
ENSG00000225998,ENSG00000172850,LSM2,5
ENSG00000231502,ENSG00000172850,LSM2,5
ENSG00000236826,ENSG00000172850,LSM2,5
ENSG00000173503,ENSG00000173503,LTA,3
ENSG00000223919,ENSG00000173503,LTA,3
ENSG00000226275,ENSG00000173503,LTA,3
ENSG00000174100,ENSG00000174100,MRPL45,2
ENSG00000277936,ENSG00000174100,MRPL45,2
ENSG00000174231,ENSG00000174231,PRPF8,2
ENSG00000274442,ENSG00000174231,PRPF8,2
ENSG00000174942,ENSG00000174942,OR5R1,2
ENSG00000279961,ENSG00000174942,OR5R1,2
ENSG00000175676,ENSG00000175676,GOLGA8DP,2
ENSG00000278070,ENSG00000175676,GOLGA8DP,2
ENSG00000175699,ENSG00000175699,CCDC197,2
ENSG00000280668,ENSG00000175699,CCDC197,2
ENSG00000176444,ENSG00000176444,CLK2,2
ENSG00000261893,ENSG00000176444,CLK2,2
ENSG00000176879,ENSG00000176879,OR51G1,2
ENSG00000278870,ENSG00000176879,OR51G1,2
ENSG00000176937,ENSG00000176937,OR52R1,2
ENSG00000279270,ENSG00000176937,OR52R1,2
ENSG00000176956,ENSG00000176956,LY6H,2
ENSG00000274488,ENSG00000176956,LY6H,2
ENSG00000176998,ENSG00000176998,HCG4,5
ENSG00000224564,ENSG00000176998,HCG4,5
ENSG00000226379,ENSG00000176998,HCG4,5
ENSG00000228706,ENSG00000176998,HCG4,5
ENSG00000235317,ENSG00000176998,HCG4,5
ENSG00000177023,ENSG00000177023,DEFB104B,2
ENSG00000277006,ENSG00000177023,DEFB104B,2
ENSG00000177243,ENSG00000177243,DEFB103B,2
ENSG00000273641,ENSG00000177243,DEFB103B,2
ENSG00000177340,ENSG00000177340,FLJ13224,2
ENSG00000282176,ENSG00000177340,FLJ13224,2
ENSG00000178397,ENSG00000178397,FAM220A,2
ENSG00000286075,ENSG00000178397,FAM220A,2
ENSG00000179028,ENSG00000179028,,2
ENSG00000182776,ENSG00000179028,,2
ENSG00000179082,ENSG00000179082,LINC02913,2
ENSG00000233901,ENSG00000179082,LINC02913,2
ENSG00000179978,ENSG00000179978,NAIPP2,2
ENSG00000281380,ENSG00000179978,NAIPP2,2
ENSG00000181085,ENSG00000181085,MAPK15,2
ENSG00000274205,ENSG00000181085,MAPK15,2
ENSG00000181097,ENSG00000181097,LINC02878,2
ENSG00000277126,ENSG00000181097,LINC02878,2
ENSG00000181135,ENSG00000181135,ZNF707,2
ENSG00000274352,ENSG00000181135,ZNF707,2
ENSG00000181296,ENSG00000181296,OR5G1P,2
ENSG00000281313,ENSG00000181296,OR5G1P,2
ENSG00000181325,ENSG00000181325,OR9G3P,2
ENSG00000262268,ENSG00000181325,OR9G3P,2
ENSG00000181689,ENSG00000181689,OR8K3,2
ENSG00000262755,ENSG00000181689,OR8K3,2
ENSG00000181935,ENSG00000181935,OR4C16,2
ENSG00000279514,ENSG00000181935,OR4C16,2
ENSG00000182021,ENSG00000182021,,5
ENSG00000184906,ENSG00000182021,,5
ENSG00000279955,ENSG00000182021,,5
ENSG00000286506,ENSG00000182021,,5
ENSG00000287988,ENSG00000182021,,5
ENSG00000182217,ENSG00000182217,HIST2H4B,2
ENSG00000183941,ENSG00000182217,HIST2H4B,2
ENSG00000182352,ENSG00000182352,CD300LD-AS1,2
ENSG00000261222,ENSG00000182352,CD300LD-AS1,2
ENSG00000183038,ENSG00000183038,GGTLC3,2
ENSG00000274252,ENSG00000183038,GGTLC3,2
ENSG00000183461,ENSG00000183461,XAGE1C,5
ENSG00000204375,ENSG00000183461,XAGE1C,5
ENSG00000204376,ENSG00000183461,XAGE1C,5
ENSG00000204379,ENSG00000183461,XAGE1C,5
ENSG00000204382,ENSG00000183461,XAGE1C,5
ENSG00000183562,ENSG00000183562,,2
ENSG00000282438,ENSG00000183562,,2
ENSG00000183574,ENSG00000183574,RNF5,5
ENSG00000223767,ENSG00000183574,RNF5,5
ENSG00000225452,ENSG00000183574,RNF5,5
ENSG00000227277,ENSG00000183574,RNF5,5
ENSG00000228907,ENSG00000183574,RNF5,5
ENSG00000183629,ENSG00000183629,GOLGA8G,3
ENSG00000273651,ENSG00000183629,GOLGA8G,3
ENSG00000277090,ENSG00000183629,GOLGA8G,3
ENSG00000183675,ENSG00000183675,PTPN20B,2
ENSG00000204179,ENSG00000183675,PTPN20B,2
ENSG00000183678,ENSG00000183678,CTAG1A,2
ENSG00000184033,ENSG00000183678,CTAG1A,2
ENSG00000183753,ENSG00000183753,BPY2,3
ENSG00000183795,ENSG00000183753,BPY2,3
ENSG00000185894,ENSG00000183753,BPY2,3
ENSG00000183791,ENSG00000183791,ELOA3,2
ENSG00000266996,ENSG00000183791,ELOA3,2
ENSG00000184258,ENSG00000184258,CDR1,2
ENSG00000288642,ENSG00000184258,CDR1,2
ENSG00000184779,ENSG00000184779,RPS17,2
ENSG00000278229,ENSG00000184779,RPS17,2
ENSG00000184786,ENSG00000184786,DYNLT2,2
ENSG00000275368,ENSG00000184786,DYNLT2,2
ENSG00000184881,ENSG00000184881,OR51B2,2
ENSG00000279012,ENSG00000184881,OR51B2,2
ENSG00000184911,ENSG00000184911,DMRTC1B,2
ENSG00000269502,ENSG00000184911,DMRTC1B,2
ENSG00000185097,ENSG00000185097,OR4F16,3
ENSG00000230178,ENSG00000185097,OR4F16,3
ENSG00000235249,ENSG00000185097,OR4F16,3
ENSG00000185686,ENSG00000185686,PRAME,2
ENSG00000275013,ENSG00000185686,PRAME,2
ENSG00000185978,ENSG00000185978,H2AFB3,2
ENSG00000198307,ENSG00000185978,H2AFB3,2
ENSG00000185990,ENSG00000185990,F8A3,2
ENSG00000198444,ENSG00000185990,F8A3,2
ENSG00000186136,ENSG00000186136,TAS2R42,2
ENSG00000273505,ENSG00000186136,TAS2R42,2
ENSG00000186166,ENSG00000186166,CENATAC,2
ENSG00000280975,ENSG00000186166,CENATAC,2
ENSG00000186400,ENSG00000186400,OR10X1,2
ENSG00000279111,ENSG00000186400,OR10X1,2
ENSG00000186572,ENSG00000186572,DEFB107A,2
ENSG00000277530,ENSG00000186572,DEFB107A,2
ENSG00000187082,ENSG00000187082,DEFB106B,2
ENSG00000275794,ENSG00000187082,DEFB106B,2
ENSG00000187456,ENSG00000187456,RDM1,3
ENSG00000276432,ENSG00000187456,RDM1,3
ENSG00000278023,ENSG00000187456,RDM1,3
ENSG00000187534,ENSG00000187534,PRR13P5,2
ENSG00000280932,ENSG00000187534,PRR13P5,2
ENSG00000187545,ENSG00000187545,PRAMEF10,2
ENSG00000282663,ENSG00000187545,PRAMEF10,2
ENSG00000188011,ENSG00000188011,RTP5,2
ENSG00000277949,ENSG00000188011,RTP5,2
ENSG00000188525,ENSG00000188525,,2
ENSG00000289033,ENSG00000188525,,2
ENSG00000188888,ENSG00000188888,GPR179,2
ENSG00000276469,ENSG00000188888,GPR179,2
ENSG00000189149,ENSG00000189149,ABCA15P,2
ENSG00000283512,ENSG00000189149,ABCA15P,2
ENSG00000189393,ENSG00000189393,FAM90A14P,2
ENSG00000285814,ENSG00000189393,FAM90A14P,2
ENSG00000196224,ENSG00000196224,KRTAP5-3,2
ENSG00000275920,ENSG00000196224,KRTAP5-3,2
ENSG00000196331,ENSG00000196331,HIST1H2BO,2
ENSG00000274641,ENSG00000196331,HIST1H2BO,2
ENSG00000196345,ENSG00000196345,ZKSCAN7,2
ENSG00000281894,ENSG00000196345,ZKSCAN7,2
ENSG00000196415,ENSG00000196415,PRTN3,2
ENSG00000277804,ENSG00000196415,PRTN3,2
ENSG00000196539,ENSG00000196539,OR2T3,2
ENSG00000277113,ENSG00000196539,OR2T3,2
ENSG00000196610,ENSG00000196610,HLA-DQB2,2
ENSG00000229493,ENSG00000196610,HLA-DQB2,2
ENSG00000196648,ENSG00000196648,GOLGA6L20,2
ENSG00000274320,ENSG00000196648,GOLGA6L20,2
ENSG00000196653,ENSG00000196653,ZNF502,2
ENSG00000281448,ENSG00000196653,ZNF502,2
ENSG00000196655,ENSG00000196655,TRAPPC4,2
ENSG00000280495,ENSG00000196655,TRAPPC4,2
ENSG00000196936,ENSG00000196936,OR2L8,2
ENSG00000279263,ENSG00000196936,OR2L8,2
ENSG00000197171,ENSG00000197171,OR2B4P,3
ENSG00000224633,ENSG00000197171,OR2B4P,3
ENSG00000231279,ENSG00000197171,OR2B4P,3
ENSG00000197263,ENSG00000197263,OR8D2,2
ENSG00000279116,ENSG00000197263,OR8D2,2
ENSG00000197414,ENSG00000197414,GOLGA6L1,2
ENSG00000273976,ENSG00000197414,GOLGA6L1,2
ENSG00000197561,ENSG00000197561,ELANE,2
ENSG00000277571,ENSG00000197561,ELANE,2
ENSG00000197782,ENSG00000197782,ZNF780A,2
ENSG00000280568,ENSG00000197782,ZNF780A,2
ENSG00000197794,ENSG00000197794,IGKV7-3,2
ENSG00000282050,ENSG00000197794,IGKV7-3,2
ENSG00000197935,ENSG00000197935,ZNF311,4
ENSG00000225351,ENSG00000197935,ZNF311,4
ENSG00000235178,ENSG00000197935,ZNF311,4
ENSG00000235589,ENSG00000197935,ZNF311,4
ENSG00000198134,ENSG00000198134,PTMAP9,2
ENSG00000281442,ENSG00000198134,PTMAP9,2
ENSG00000198657,ENSG00000198657,OR8B4,2
ENSG00000280090,ENSG00000198657,OR8B4,2
ENSG00000198877,ENSG00000198877,OR5D13,2
ENSG00000279761,ENSG00000198877,OR5D13,2
ENSG00000199270,ENSG00000199270,RNA5S12,16
ENSG00000199334,ENSG00000199270,RNA5S12,16
ENSG00000199337,ENSG00000199270,RNA5S12,16
ENSG00000199352,ENSG00000199270,RNA5S12,16
ENSG00000199396,ENSG00000199270,RNA5S12,16
ENSG00000199910,ENSG00000199270,RNA5S12,16
ENSG00000200343,ENSG00000199270,RNA5S12,16
ENSG00000200370,ENSG00000199270,RNA5S12,16
ENSG00000200381,ENSG00000199270,RNA5S12,16
ENSG00000200624,ENSG00000199270,RNA5S12,16
ENSG00000201355,ENSG00000199270,RNA5S12,16
ENSG00000201588,ENSG00000199270,RNA5S12,16
ENSG00000201925,ENSG00000199270,RNA5S12,16
ENSG00000202257,ENSG00000199270,RNA5S12,16
ENSG00000202521,ENSG00000199270,RNA5S12,16
ENSG00000202526,ENSG00000199270,RNA5S12,16
ENSG00000199290,ENSG00000199290,Y_RNA,2
ENSG00000263876,ENSG00000199290,Y_RNA,2
ENSG00000199308,ENSG00000199308,RNU6-222P,25
ENSG00000273519,ENSG00000199308,RNU6-222P,25
ENSG00000273752,ENSG00000199308,RNU6-222P,25
ENSG00000273929,ENSG00000199308,RNU6-222P,25
ENSG00000273938,ENSG00000199308,RNU6-222P,25
ENSG00000274597,ENSG00000199308,RNU6-222P,25
ENSG00000274623,ENSG00000199308,RNU6-222P,25
ENSG00000274708,ENSG00000199308,RNU6-222P,25
ENSG00000274771,ENSG00000199308,RNU6-222P,25
ENSG00000275021,ENSG00000199308,RNU6-222P,25
ENSG00000275168,ENSG00000199308,RNU6-222P,25
ENSG00000275304,ENSG00000199308,RNU6-222P,25
ENSG00000275671,ENSG00000199308,RNU6-222P,25
ENSG00000275782,ENSG00000199308,RNU6-222P,25
ENSG00000276339,ENSG00000199308,RNU6-222P,25
ENSG00000276552,ENSG00000199308,RNU6-222P,25
ENSG00000277153,ENSG00000199308,RNU6-222P,25
ENSG00000277551,ENSG00000199308,RNU6-222P,25
ENSG00000277567,ENSG00000199308,RNU6-222P,25
ENSG00000278063,ENSG00000199308,RNU6-222P,25
ENSG00000278140,ENSG00000199308,RNU6-222P,25
ENSG00000278190,ENSG00000199308,RNU6-222P,25
ENSG00000278230,ENSG00000199308,RNU6-222P,25
ENSG00000278296,ENSG00000199308,RNU6-222P,25
ENSG00000278411,ENSG00000199308,RNU6-222P,25
ENSG00000199332,ENSG00000199332,Y_RNA,4
ENSG00000264692,ENSG00000199332,Y_RNA,4
ENSG00000265896,ENSG00000199332,Y_RNA,4
ENSG00000266250,ENSG00000199332,Y_RNA,4
ENSG00000199404,ENSG00000199404,RNA5SP250,2
ENSG00000285912,ENSG00000199404,RNA5SP250,2
ENSG00000199453,ENSG00000199453,SNORD115-12,2
ENSG00000199782,ENSG00000199453,SNORD115-12,2
ENSG00000199469,ENSG00000199469,RNU1-62P,2
ENSG00000281822,ENSG00000199469,RNU1-62P,2
ENSG00000199480,ENSG00000199480,RNA5SP389,2
ENSG00000273928,ENSG00000199480,RNA5SP389,2
ENSG00000199551,ENSG00000199551,RNU6-545P,2
ENSG00000206783,ENSG00000199551,RNU6-545P,2
ENSG00000199562,ENSG00000199562,RNU6-37P,2
ENSG00000201104,ENSG00000199562,RNU6-37P,2
ENSG00000199565,ENSG00000199565,Y_RNA,2
