contrast,type_a,type_b,favors,Symbol,Ensembl_Gene_ID,direction,tier,separability,source,support_type,source_anchor
CRC_vs_STAD,CRC,STAD,STAD,MUC5AC,ENSG00000215182,high,primary,strong,PMID:25079317,contrast_marker_literature,STAD-side marker support
CRC_vs_STAD,CRC,STAD,STAD,TFF1,ENSG00000160182,high,supporting,strong,PMID:25079317,contrast_marker_literature,STAD-side marker support
CRC_vs_STAD,CRC,STAD,STAD,GKN1,ENSG00000169605,high,primary,strong,PMID:25079317,contrast_marker_literature,STAD-side marker support
CRC_vs_STAD,CRC,STAD,STAD,GKN2,ENSG00000183607,high,primary,strong,PMID:25079317,contrast_marker_literature,STAD-side marker support
CRC_vs_STAD,CRC,STAD,STAD,PGC,ENSG00000096088,high,supporting,strong,PMID:25079317,contrast_marker_literature,STAD-side marker support
CRC_vs_STAD,CRC,STAD,STAD,MUC6,ENSG00000184956,high,supporting,strong,PMID:25079317,contrast_marker_literature,STAD-side marker support
PAAD_vs_STAD,PAAD,STAD,PAAD,GATA6,ENSG00000141448,high,primary,moderate,PMID:26343385,contrast_marker_literature,
PAAD_vs_STAD,PAAD,STAD,PAAD,MSLN,ENSG00000102854,high,supporting,moderate,PMID:26343385,contrast_marker_literature,
PAAD_vs_STAD,PAAD,STAD,PAAD,CLDN18,ENSG00000066405,high,supporting,moderate,PMID:26343385,contrast_marker_literature,
PAAD_vs_STAD,PAAD,STAD,PAAD,KRT17,ENSG00000128422,high,supporting,moderate,PMID:26343385,contrast_marker_literature,
PAAD_vs_STAD,PAAD,STAD,STAD,GKN1,ENSG00000169605,high,primary,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
PAAD_vs_STAD,PAAD,STAD,STAD,GKN2,ENSG00000183607,high,primary,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
PAAD_vs_STAD,PAAD,STAD,STAD,PGC,ENSG00000096088,high,supporting,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
PAAD_vs_STAD,PAAD,STAD,STAD,MUC6,ENSG00000184956,high,supporting,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
PAAD_vs_STAD,PAAD,STAD,STAD,MUC5AC,ENSG00000215182,high,supporting,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
BLCA_vs_PRAD,BLCA,PRAD,BLCA,GATA3,ENSG00000107485,high,primary,strong,PMID:28988769,contrast_marker_literature,
BLCA_vs_PRAD,BLCA,PRAD,BLCA,UPK1B,ENSG00000114638,high,primary,strong,PMID:28988769,contrast_marker_literature,
BLCA_vs_PRAD,BLCA,PRAD,BLCA,UPK2,ENSG00000110375,high,primary,strong,PMID:28988769,contrast_marker_literature,
BLCA_vs_PRAD,BLCA,PRAD,BLCA,UPK3A,ENSG00000100373,high,primary,strong,PMID:28988769,contrast_marker_literature,
BLCA_vs_PRAD,BLCA,PRAD,BLCA,KRT20,ENSG00000171431,high,supporting,strong,PMID:28988769,contrast_marker_literature,
BLCA_vs_PRAD,BLCA,PRAD,BLCA,KRT5,ENSG00000186081,high,supporting,strong,PMID:28988769,contrast_marker_literature,
BLCA_vs_PRAD,BLCA,PRAD,PRAD,NKX3-1,ENSG00000167034,high,primary,strong,PMID:26544944,contrast_marker_literature,PRAD-side marker support
BLCA_vs_PRAD,BLCA,PRAD,PRAD,KLK3,ENSG00000142515,high,primary,strong,PMID:26544944,contrast_marker_literature,PRAD-side marker support
BLCA_vs_PRAD,BLCA,PRAD,PRAD,KLK2,ENSG00000167751,high,supporting,strong,PMID:26544944,contrast_marker_literature,PRAD-side marker support
BLCA_vs_PRAD,BLCA,PRAD,PRAD,FOLH1,ENSG00000086205,high,supporting,strong,PMID:26544944,contrast_marker_literature,PRAD-side marker support
BLCA_vs_PRAD,BLCA,PRAD,PRAD,AMACR,ENSG00000242110,high,supporting,strong,PMID:26544944,contrast_marker_literature,PRAD-side marker support
BLCA_vs_PRAD,BLCA,PRAD,PRAD,HOXB13,ENSG00000159184,high,supporting,strong,PMID:26544944,contrast_marker_literature,PRAD-side marker support
BLCA_vs_BRCA,BLCA,BRCA,BLCA,UPK1B,ENSG00000114638,high,primary,good,PMID:28988769,contrast_marker_literature,
BLCA_vs_BRCA,BLCA,BRCA,BLCA,UPK2,ENSG00000110375,high,primary,good,PMID:28988769,contrast_marker_literature,
BLCA_vs_BRCA,BLCA,BRCA,BLCA,UPK3A,ENSG00000100373,high,primary,good,PMID:28988769,contrast_marker_literature,
BLCA_vs_BRCA,BLCA,BRCA,BLCA,KRT20,ENSG00000171431,high,supporting,good,PMID:28988769,contrast_marker_literature,
BLCA_vs_BRCA,BLCA,BRCA,BRCA,TRPS1,ENSG00000104447,high,primary,good,PMID:23000897,diagnostic_marker_needs_specific_anchor,BRCA-side marker support; TRPS1 remains diagnostic-marker-specific curation
BLCA_vs_BRCA,BLCA,BRCA,BRCA,SCGB2A2,ENSG00000110484,high,primary,good,PMID:23000897,contrast_marker_literature,BRCA-side marker support; TRPS1 remains diagnostic-marker-specific curation
BLCA_vs_BRCA,BLCA,BRCA,BRCA,PIP,ENSG00000159763,high,supporting,good,PMID:23000897,contrast_marker_literature,BRCA-side marker support; TRPS1 remains diagnostic-marker-specific curation
BLCA_vs_BRCA,BLCA,BRCA,BRCA,ESR1,ENSG00000091831,high,supporting,good,PMID:23000897,contrast_marker_literature,BRCA-side marker support; TRPS1 remains diagnostic-marker-specific curation
BLCA_vs_BRCA,BLCA,BRCA,BRCA,SOX10,ENSG00000100146,high,supporting,good,PMID:23000897,contrast_marker_literature,BRCA-side marker support; TRPS1 remains diagnostic-marker-specific curation
OV_vs_UCEC,OV,UCEC,OV,WT1,ENSG00000184937,high,primary,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,OV,SOX17,ENSG00000164736,high,supporting,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,OV,MUC16,ENSG00000181143,high,supporting,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,UCEC,WT1,ENSG00000184937,low,primary,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,UCEC,ESR1,ENSG00000091831,high,supporting,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,UCEC,PGR,ENSG00000082175,high,supporting,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,UCEC,VIM,ENSG00000026025,high,supporting,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,UCEC,HOXA10,ENSG00000253293,high,supporting,good,PMID:15084838,contrast_marker_literature,
OV_vs_UCEC,OV,UCEC,UCEC,HOXA11,ENSG00000005073,high,supporting,good,PMID:15084838,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRC,CA9,ENSG00000107159,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRC,CA12,ENSG00000074410,high,supporting,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRC,NDUFA4L2,ENSG00000185633,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRC,VEGFA,ENSG00000112715,high,supporting,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRC,MME,ENSG00000196549,high,supporting,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRP,AMACR,ENSG00000242110,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRP,MET,ENSG00000105976,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRP,KRT7,ENSG00000135480,high,supporting,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KIRP,KIRC,KIRP,KIRP,VIM,ENSG00000026025,high,supporting,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KICH,KIRC,KICH,KIRC,CA9,ENSG00000107159,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KICH,KIRC,KICH,KIRC,NDUFA4L2,ENSG00000185633,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KICH,KIRC,KICH,KICH,FOXI1,ENSG00000168269,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KICH,KIRC,KICH,KICH,KIT,ENSG00000157404,high,primary,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KICH,KIRC,KICH,KICH,PVALB,ENSG00000100362,high,supporting,strong,PMID:23792563,contrast_marker_literature,
KIRC_vs_KICH,KIRC,KICH,KICH,GATA3,ENSG00000107485,high,supporting,strong,PMID:23792563,contrast_marker_literature,
THCA_vs_MTC,THCA,MTC,THCA,TG,ENSG00000042832,high,primary,strong,PMID:25417114,contrast_marker_literature,
THCA_vs_MTC,THCA,MTC,THCA,TPO,ENSG00000115705,high,primary,strong,PMID:25417114,contrast_marker_literature,
THCA_vs_MTC,THCA,MTC,THCA,SLC5A5,ENSG00000105641,high,supporting,strong,PMID:25417114,contrast_marker_literature,
THCA_vs_MTC,THCA,MTC,THCA,TSHR,ENSG00000165409,high,supporting,strong,PMID:25417114,contrast_marker_literature,
THCA_vs_MTC,THCA,MTC,MTC,CALCA,ENSG00000110680,high,primary,strong,PMID:28929017;PMID:26494386,contrast_marker_literature,MTC-side calcitonin/neuroendocrine marker support
THCA_vs_MTC,THCA,MTC,MTC,CALCB,ENSG00000175868,high,primary,strong,PMID:28929017;PMID:26494386,contrast_marker_literature,MTC-side calcitonin/neuroendocrine marker support
THCA_vs_MTC,THCA,MTC,MTC,CEACAM5,ENSG00000105388,high,supporting,strong,PMID:28929017;PMID:26494386,contrast_marker_literature,MTC-side calcitonin/neuroendocrine marker support
THCA_vs_MTC,THCA,MTC,MTC,ASCL1,ENSG00000139352,high,supporting,strong,PMID:28929017;PMID:26494386,contrast_marker_literature,MTC-side calcitonin/neuroendocrine marker support
THCA_vs_MTC,THCA,MTC,MTC,CHGA,ENSG00000100604,high,supporting,strong,PMID:28929017;PMID:26494386,contrast_marker_literature,MTC-side calcitonin/neuroendocrine marker support
THCA_vs_MTC,THCA,MTC,MTC,TG,ENSG00000042832,low,primary,strong,PMID:28929017;PMID:26494386,contrast_marker_literature,MTC-side calcitonin/neuroendocrine marker support
NEC_MERKEL_vs_SCLC,NEC_MERKEL,SCLC,NEC_MERKEL,KRT20,ENSG00000171431,high,primary,good,PMID:37179598,merkel_marker_literature,Merkel-side marker support; verify exact KRT20/neurofilament/ATOH1 anchors
NEC_MERKEL_vs_SCLC,NEC_MERKEL,SCLC,NEC_MERKEL,NEFL,ENSG00000277586,high,supporting,good,PMID:37179598,merkel_marker_literature,Merkel-side marker support; verify exact KRT20/neurofilament/ATOH1 anchors
NEC_MERKEL_vs_SCLC,NEC_MERKEL,SCLC,NEC_MERKEL,NEFM,ENSG00000104722,high,supporting,good,PMID:37179598,merkel_marker_literature,Merkel-side marker support; verify exact KRT20/neurofilament/ATOH1 anchors
NEC_MERKEL_vs_SCLC,NEC_MERKEL,SCLC,NEC_MERKEL,ATOH1,ENSG00000172238,high,primary,good,PMID:37179598,merkel_marker_literature,Merkel-side marker support; verify exact KRT20/neurofilament/ATOH1 anchors
NEC_MERKEL_vs_SCLC,NEC_MERKEL,SCLC,SCLC,NKX2-1,ENSG00000136352,high,primary,good,PMID:26168399,contrast_marker_literature,
NEC_MERKEL_vs_SCLC,NEC_MERKEL,SCLC,SCLC,ASCL1,ENSG00000139352,high,supporting,good,PMID:26168399,contrast_marker_literature,
NEC_MERKEL_vs_SCLC,NEC_MERKEL,SCLC,SCLC,NEUROD1,ENSG00000162992,high,supporting,good,PMID:26168399,contrast_marker_literature,
GBC_vs_PAAD,GBC,PAAD,GBC,CLDN4,ENSG00000189143,high,primary,poor,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; use only as multi-marker fallback evidence
GBC_vs_PAAD,GBC,PAAD,GBC,KRT7,ENSG00000135480,high,supporting,poor,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; shared pancreaticobiliary marker
GBC_vs_PAAD,GBC,PAAD,GBC,KRT19,ENSG00000171345,high,supporting,poor,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; shared pancreaticobiliary marker
GBC_vs_PAAD,GBC,PAAD,GBC,ERBB2,ENSG00000141736,high,supporting,poor,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; require companion biliary markers
GBC_vs_PAAD,GBC,PAAD,GBC,CEACAM5,ENSG00000105388,high,supporting,poor,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; shared GI marker
GBC_vs_PAAD,GBC,PAAD,PAAD,GATA6,ENSG00000141448,high,primary,poor,PMID:26343385,contrast_marker_literature,PAAD-side marker support
GBC_vs_PAAD,GBC,PAAD,PAAD,PDX1,ENSG00000139515,high,primary,poor,PMID:26343385,contrast_marker_literature,PAAD-side marker support
GBC_vs_PAAD,GBC,PAAD,PAAD,AGR2,ENSG00000106541,high,supporting,poor,PMID:26343385,contrast_marker_literature,PAAD-side marker support
GBC_vs_PAAD,GBC,PAAD,PAAD,MSLN,ENSG00000102854,high,supporting,poor,PMID:26343385,contrast_marker_literature,PAAD-side marker support
GBC_vs_PAAD,GBC,PAAD,PAAD,CEACAM6,ENSG00000086548,high,supporting,poor,PMID:26343385,contrast_marker_literature,PAAD-side marker support
GBC_vs_STAD,GBC,STAD,GBC,CLDN4,ENSG00000189143,high,primary,moderate,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; use only as multi-marker fallback evidence
GBC_vs_STAD,GBC,STAD,GBC,KRT7,ENSG00000135480,high,supporting,moderate,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; shared foregut epithelial marker
GBC_vs_STAD,GBC,STAD,GBC,KRT19,ENSG00000171345,high,supporting,moderate,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; shared foregut epithelial marker
GBC_vs_STAD,GBC,STAD,GBC,ERBB2,ENSG00000141736,high,supporting,moderate,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; require companion biliary markers
GBC_vs_STAD,GBC,STAD,GBC,CEACAM5,ENSG00000105388,high,supporting,moderate,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; shared GI marker
GBC_vs_STAD,GBC,STAD,STAD,CLDN18,ENSG00000066405,high,primary,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
GBC_vs_STAD,GBC,STAD,STAD,TFF1,ENSG00000160182,high,primary,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
GBC_vs_STAD,GBC,STAD,STAD,TFF2,ENSG00000160181,high,supporting,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
GBC_vs_STAD,GBC,STAD,STAD,MUC5AC,ENSG00000215182,high,supporting,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
GBC_vs_STAD,GBC,STAD,STAD,GKN1,ENSG00000169605,high,supporting,moderate,PMID:25079317,contrast_marker_literature,STAD-side marker support
GBC_vs_NET_PANCREAS,GBC,NET_PANCREAS,GBC,CLDN4,ENSG00000189143,high,primary,strong,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; use only as multi-marker fallback evidence
GBC_vs_NET_PANCREAS,GBC,NET_PANCREAS,GBC,KRT7,ENSG00000135480,high,supporting,strong,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; epithelial biliary support
GBC_vs_NET_PANCREAS,GBC,NET_PANCREAS,GBC,MUC1,ENSG00000185499,high,supporting,strong,GSE139682,gallbladder_expression_candidate,GSE139682 GBC tumor-vs-matched-normal RNA-seq; epithelial biliary support
GBC_vs_NET_PANCREAS,GBC,NET_PANCREAS,NET_PANCREAS,INS,ENSG00000254647,high,primary,strong,PMID:28199314,contrast_marker_literature,PanNET/islet endocrine counter-evidence
GBC_vs_NET_PANCREAS,GBC,NET_PANCREAS,NET_PANCREAS,GCG,ENSG00000115263,high,primary,strong,PMID:28199314,contrast_marker_literature,PanNET/islet endocrine counter-evidence
GBC_vs_NET_PANCREAS,GBC,NET_PANCREAS,NET_PANCREAS,PPY,ENSG00000108849,high,supporting,strong,PMID:28199314,contrast_marker_literature,PanNET/islet endocrine counter-evidence
GBC_vs_NET_PANCREAS,GBC,NET_PANCREAS,NET_PANCREAS,SST,ENSG00000157005,high,supporting,strong,PMID:28199314,contrast_marker_literature,PanNET/islet endocrine counter-evidence
