group_canonical_ensembl_gene_id,group_canonical_symbol,ensembl_gene_id,symbol,protein_aa,n_members
ENSG00000104205,C8orf44-SGK3/SGK3,ENSG00000104205,SGK3,496,2
ENSG00000104205,C8orf44-SGK3/SGK3,ENSG00000288602,C8orf44-SGK3,496,2
ENSG00000169800,RBMY1F/J,ENSG00000169800,RBMY1F,496,2
ENSG00000169800,RBMY1F/J,ENSG00000226941,RBMY1J,496,2
ENSG00000122674,CCZ1/CCZ1B,ENSG00000122674,CCZ1,482,2
ENSG00000122674,CCZ1/CCZ1B,ENSG00000146574,CCZ1B,482,2
ENSG00000140488,CELF6,ENSG00000140488,CELF6,481,2
ENSG00000140488,CELF6,ENSG00000273025,,481,2
ENSG00000182484,WASH6P,ENSG00000182484,WASH6P,478,2
ENSG00000182484,WASH6P,ENSG00000292372,WASH6P,478,2
ENSG00000197417,SHPK,ENSG00000197417,SHPK,478,2
ENSG00000197417,SHPK,ENSG00000262304,,478,2
ENSG00000229571,PRAMEF25/6,ENSG00000229571,PRAMEF25,478,2
ENSG00000229571,PRAMEF25/6,ENSG00000280267,PRAMEF26,478,2
ENSG00000204176,SYT15/SYT15B,ENSG00000204176,SYT15,474,2
ENSG00000204176,SYT15/SYT15B,ENSG00000277758,SYT15B,474,2
ENSG00000285620,FAM90A16/7,ENSG00000285620,FAM90A16,464,2
ENSG00000285620,FAM90A16/7,ENSG00000285720,FAM90A17,464,2
ENSG00000285657,FAM90A18/9,ENSG00000285657,FAM90A19,464,2
ENSG00000285657,FAM90A18/9,ENSG00000285913,FAM90A18,464,2
ENSG00000117262,GPR89A/B,ENSG00000117262,GPR89A,455,2
ENSG00000117262,GPR89A/B,ENSG00000188092,GPR89B,455,2
ENSG00000223417,TRIM49D1/2,ENSG00000223417,TRIM49D1,452,2
ENSG00000223417,TRIM49D1/2,ENSG00000233802,TRIM49D2,452,2
ENSG00000006652,IFRD1,ENSG00000006652,IFRD1,451,2
ENSG00000006652,IFRD1,ENSG00000288640,,451,2
ENSG00000075886,TUBA3C/D,ENSG00000075886,TUBA3D,450,2
ENSG00000075886,TUBA3C/D,ENSG00000198033,TUBA3C,450,2
ENSG00000137804,NUSAP1,ENSG00000137804,NUSAP1,441,2
ENSG00000137804,NUSAP1,ENSG00000285920,,441,2
ENSG00000188603,CLN3,ENSG00000188603,CLN3,438,2
ENSG00000188603,CLN3,ENSG00000261832,,438,2
ENSG00000198223,CSF2RA,ENSG00000198223,CSF2RA,434,2
ENSG00000198223,CSF2RA,ENSG00000292357,CSF2RA,434,2
ENSG00000171116,HSFX1/2,ENSG00000171116,HSFX1,423,2
ENSG00000171116,HSFX1/2,ENSG00000268738,HSFX2,423,2
ENSG00000223572,CKMT1A/B,ENSG00000223572,CKMT1A,417,2
ENSG00000223572,CKMT1A/B,ENSG00000237289,CKMT1B,417,2
ENSG00000213923,CSNK1E/TPTEP2-CSNK1E,ENSG00000213923,CSNK1E,416,2
ENSG00000213923,CSNK1E/TPTEP2-CSNK1E,ENSG00000283900,TPTEP2-CSNK1E,416,2
ENSG00000169953,HSFY1/2,ENSG00000169953,HSFY2,401,2
ENSG00000169953,HSFY1/2,ENSG00000172468,HSFY1,401,2
ENSG00000144026,ZNF514,ENSG00000144026,ZNF514,400,2
ENSG00000144026,ZNF514,ENSG00000289685,,400,2
ENSG00000256671,LIMS3/4,ENSG00000256671,LIMS4,398,2
ENSG00000256671,LIMS3/4,ENSG00000256977,LIMS3,398,2
ENSG00000243811,APOBEC3D,ENSG00000243811,APOBEC3D,386,2
ENSG00000243811,APOBEC3D,ENSG00000284554,,386,2
ENSG00000206549,PRSS50,ENSG00000206549,,385,2
ENSG00000206549,PRSS50,ENSG00000283706,PRSS50,385,2
ENSG00000124593,PRICKLE4,ENSG00000124593,,384,2
ENSG00000124593,PRICKLE4,ENSG00000278224,PRICKLE4,384,2
ENSG00000184702,SEPTIN5,ENSG00000184702,SEPTIN5,378,2
ENSG00000184702,SEPTIN5,ENSG00000284874,,378,2
ENSG00000185291,IL3RA,ENSG00000185291,IL3RA,378,2
ENSG00000185291,IL3RA,ENSG00000292332,IL3RA,378,2
ENSG00000196433,ASMT,ENSG00000196433,ASMT,373,2
ENSG00000196433,ASMT,ENSG00000292336,ASMT,373,2
ENSG00000205755,CRLF2,ENSG00000205755,CRLF2,371,2
ENSG00000205755,CRLF2,ENSG00000292363,CRLF2,371,2
ENSG00000277150,F8A1/2/3,ENSG00000277150,F8A3,371,3
ENSG00000277150,F8A1/2/3,ENSG00000288709,F8A2,371,3
ENSG00000277150,F8A1/2/3,ENSG00000288722,F8A1,371,3
ENSG00000183889,NPIPA6/9,ENSG00000183889,NPIPA6,369,2
ENSG00000183889,NPIPA6/9,ENSG00000233024,NPIPA9,369,2
ENSG00000214940,NPIPA7/8,ENSG00000214940,NPIPA8,369,2
ENSG00000214940,NPIPA7/8,ENSG00000214967,NPIPA7,369,2
ENSG00000166160,OPN1MW/OPN1MW2/OPN1MW3,ENSG00000166160,OPN1MW2,364,3
ENSG00000166160,OPN1MW/OPN1MW2/OPN1MW3,ENSG00000268221,OPN1MW,364,3
ENSG00000166160,OPN1MW/OPN1MW2/OPN1MW3,ENSG00000269433,OPN1MW3,364,3
ENSG00000182162,P2RY8,ENSG00000182162,P2RY8,359,2
ENSG00000182162,P2RY8,ENSG00000292333,P2RY8,359,2
ENSG00000136485,DCAF7,ENSG00000136485,DCAF7,342,2
ENSG00000136485,DCAF7,ENSG00000288894,,342,2
ENSG00000169084,DHRSX,ENSG00000169084,DHRSX,330,2
ENSG00000169084,DHRSX,ENSG00000292338,DHRSX,330,2
ENSG00000182378,PLCXD1,ENSG00000182378,PLCXD1,323,2
ENSG00000182378,PLCXD1,ENSG00000292344,PLCXD1,323,2
ENSG00000183706,OR4M2-OT1/N4,ENSG00000183706,OR4N4,316,2
ENSG00000183706,OR4M2-OT1/N4,ENSG00000285472,OR4M2-OT1,316,2
ENSG00000279408,LINC02203/OR4N4C,ENSG00000279408,OR4N4C,316,2
ENSG00000279408,LINC02203/OR4N4C,ENSG00000280709,LINC02203,316,2
ENSG00000123584,MAGEA9/MAGEA9B,ENSG00000123584,MAGEA9,315,2
ENSG00000123584,MAGEA9/MAGEA9B,ENSG00000267978,MAGEA9B,315,2
ENSG00000183305,MAGEA2/MAGEA2B,ENSG00000183305,MAGEA2B,314,2
ENSG00000183305,MAGEA2/MAGEA2B,ENSG00000268606,MAGEA2,314,2
ENSG00000230178,OR4F3/16/29,ENSG00000230178,OR4F3,312,3
ENSG00000230178,OR4F3/16/29,ENSG00000284662,OR4F16,312,3
ENSG00000230178,OR4F3/16/29,ENSG00000284733,OR4F29,312,3
ENSG00000212807,OR2A1/42,ENSG00000212807,OR2A42,310,2
ENSG00000212807,OR2A1/42,ENSG00000221970,OR2A1,310,2
ENSG00000228927,TSPY3/10,ENSG00000228927,TSPY3,308,2
ENSG00000228927,TSPY3/10,ENSG00000236424,TSPY10,308,2
ENSG00000213648,SULT1A3/4,ENSG00000213648,SULT1A4,301,2
ENSG00000213648,SULT1A3/4,ENSG00000261052,SULT1A3,301,2
ENSG00000169100,SLC25A6,ENSG00000169100,SLC25A6,298,2
ENSG00000169100,SLC25A6,ENSG00000292334,SLC25A6,298,2
ENSG00000213424,KRT222,ENSG00000213424,KRT222,295,2
ENSG00000213424,KRT222,ENSG00000264058,,295,2
ENSG00000172062,SMN1/2,ENSG00000172062,SMN1,294,2
ENSG00000172062,SMN1/2,ENSG00000205571,SMN2,294,2
ENSG00000179412,HNRNPCL3/4,ENSG00000179412,HNRNPCL4,293,2
ENSG00000179412,HNRNPCL3/4,ENSG00000277058,HNRNPCL3,293,2
ENSG00000185960,SHOX,ENSG00000185960,SHOX,292,2
ENSG00000185960,SHOX,ENSG00000292354,SHOX,292,2
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000224089,CT47A10,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000226023,CT47A6,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000226600,CT47A9,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000226685,CT47A12,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000226929,CT47A11,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000228517,CT47A7,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000230347,CT47A8,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000230594,CT47A4,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000236126,CT47A3,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000236371,CT47A1,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000237957,CT47A5,288,12
ENSG00000224089,CT47A1/2/3/4/5/6/7/8/9/10/11/12,ENSG00000242362,CT47A2,288,12
ENSG00000171865,RNASEH1,ENSG00000171865,RNASEH1,286,2
ENSG00000171865,RNASEH1,ENSG00000286905,,286,2
ENSG00000255251,PRR23D1/2,ENSG00000255251,PRR23D1,279,2
ENSG00000255251,PRR23D1/2,ENSG00000255378,PRR23D2,279,2
ENSG00000132207,SLX1A/B,ENSG00000132207,SLX1A,275,2
ENSG00000132207,SLX1A/B,ENSG00000181625,SLX1B,275,2
ENSG00000223591,CENPVL1/2,ENSG00000223591,CENPVL1,272,2
ENSG00000223591,CENPVL1/2,ENSG00000283093,CENPVL2,272,2
ENSG00000284906,ARHGAP11B,ENSG00000284906,,267,2
ENSG00000284906,ARHGAP11B,ENSG00000285077,ARHGAP11B,267,2
ENSG00000183831,ANKRD45,ENSG00000183831,ANKRD45,266,2
ENSG00000183831,ANKRD45,ENSG00000285777,,266,2
ENSG00000186645,SPDYE8/9/10/11/17,ENSG00000186645,SPDYE17,265,5
ENSG00000186645,SPDYE8/9/10/11/17,ENSG00000262461,SPDYE9,265,5
ENSG00000186645,SPDYE8/9/10/11/17,ENSG00000273520,SPDYE8,265,5
ENSG00000186645,SPDYE8/9/10/11/17,ENSG00000274570,SPDYE10,265,5
ENSG00000186645,SPDYE8/9/10/11/17,ENSG00000275976,SPDYE11,265,5
ENSG00000286014,SPDYE13/4/5,ENSG00000286014,SPDYE15,265,3
ENSG00000286014,SPDYE13/4/5,ENSG00000286038,SPDYE13,265,3
ENSG00000286014,SPDYE13/4/5,ENSG00000286137,SPDYE14,265,3
ENSG00000267368,UPK3BL1/2,ENSG00000267368,UPK3BL1,263,2
ENSG00000267368,UPK3BL1/2,ENSG00000284981,UPK3BL2,263,2
ENSG00000124333,VAMP7,ENSG00000124333,VAMP7,260,2
ENSG00000124333,VAMP7,ENSG00000292366,VAMP7,260,2
ENSG00000213022,KLK9,ENSG00000213022,KLK9,250,2
ENSG00000213022,KLK9,ENSG00000269741,,250,2
ENSG00000257207,,ENSG00000257207,,248,2
ENSG00000257207,,ENSG00000284337,,248,2
ENSG00000197584,KCNMB2,ENSG00000197584,KCNMB2,235,2
ENSG00000197584,KCNMB2,ENSG00000275163,,235,2
ENSG00000106588,PSMA2,ENSG00000106588,PSMA2,234,2
ENSG00000106588,PSMA2,ENSG00000256646,,234,2
ENSG00000172568,FNDC9,ENSG00000172568,FNDC9,224,2
ENSG00000172568,FNDC9,ENSG00000285868,,224,2
ENSG00000241476,SSX2/SSX2B,ENSG00000241476,SSX2,223,2
ENSG00000241476,SSX2/SSX2B,ENSG00000268447,SSX2B,223,2
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000204918,PRR20B,221,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000204919,PRR20A,221,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000227151,PRR20D,221,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000229665,PRR20C,221,5
ENSG00000204918,PRR20A/B/C/D/E,ENSG00000234278,PRR20E,221,5
ENSG00000183628,DGCR6,ENSG00000183628,DGCR6,220,2
ENSG00000183628,DGCR6,ENSG00000278817,,220,2
ENSG00000167578,RAB4B/RAB4B-EGLN2,ENSG00000167578,RAB4B,213,2
ENSG00000167578,RAB4B/RAB4B-EGLN2,ENSG00000171570,RAB4B-EGLN2,213,2
ENSG00000179304,FAM156A/B,ENSG00000179304,FAM156B,213,2
ENSG00000179304,FAM156A/B,ENSG00000268350,FAM156A,213,2
ENSG00000124641,MED20,ENSG00000124641,MED20,212,2
ENSG00000124641,MED20,ENSG00000288721,,212,2
ENSG00000249751,ECSCR,ENSG00000249751,ECSCR,205,2
ENSG00000249751,ECSCR,ENSG00000279686,,205,2
ENSG00000143545,RAB13,ENSG00000143545,RAB13,203,2
ENSG00000143545,RAB13,ENSG00000285641,,203,2
ENSG00000048545,GUCA1A/GUCA1ANB-GUCA1A,ENSG00000048545,GUCA1A,201,2
ENSG00000048545,GUCA1A/GUCA1ANB-GUCA1A,ENSG00000290147,GUCA1ANB-GUCA1A,201,2
ENSG00000184388,PABPC1L2A/B,ENSG00000184388,PABPC1L2B,200,2
ENSG00000184388,PABPC1L2A/B,ENSG00000186288,PABPC1L2A,200,2
ENSG00000181638,ZFP41,ENSG00000181638,ZFP41,198,2
ENSG00000181638,ZFP41,ENSG00000264668,,198,2
ENSG00000283967,TAF11L5/6/7/8/10,ENSG00000283967,TAF11L8,198,5
ENSG00000283967,TAF11L5/6/7/8/10,ENSG00000284042,TAF11L6,198,5
ENSG00000283967,TAF11L5/6/7/8/10,ENSG00000284234,TAF11L5,198,5
ENSG00000283967,TAF11L5/6/7/8/10,ENSG00000284356,TAF11L10,198,5
ENSG00000283967,TAF11L5/6/7/8/10,ENSG00000284465,TAF11L7,198,5
ENSG00000184911,DMRTC1/DMRTC1B,ENSG00000184911,DMRTC1B,192,2
ENSG00000184911,DMRTC1/DMRTC1B,ENSG00000269502,DMRTC1,192,2
ENSG00000228836,CT45A5/6/7,ENSG00000228836,CT45A5,189,3
ENSG00000228836,CT45A5/6/7,ENSG00000273696,CT45A7,189,3
ENSG00000228836,CT45A5/6/7,ENSG00000278289,CT45A6,189,3
ENSG00000270946,CT45A2/8/9,ENSG00000270946,CT45A9,189,3
ENSG00000270946,CT45A2/8/9,ENSG00000271449,CT45A2,189,3
ENSG00000270946,CT45A2/8/9,ENSG00000278085,CT45A8,189,3
ENSG00000178440,TIMM23B/TIMM23B-AGAP6,ENSG00000178440,TIMM23B-AGAP6,188,2
ENSG00000178440,TIMM23B/TIMM23B-AGAP6,ENSG00000204152,TIMM23B,188,2
ENSG00000268009,SSX4/SSX4B,ENSG00000268009,SSX4,188,2
ENSG00000268009,SSX4/SSX4B,ENSG00000269791,SSX4B,188,2
ENSG00000002586,CD99,ENSG00000002586,CD99,185,2
ENSG00000002586,CD99,ENSG00000292348,CD99,185,2
ENSG00000170276,HSPB2/HSPB2-C11orf52,ENSG00000170276,HSPB2,182,2
ENSG00000170276,HSPB2/HSPB2-C11orf52,ENSG00000254445,HSPB2-C11orf52,182,2
ENSG00000173598,NUDT4/NUDT4B,ENSG00000173598,NUDT4,181,2
ENSG00000173598,NUDT4/NUDT4B,ENSG00000177144,NUDT4B,181,2
ENSG00000184033,CTAG1A/B,ENSG00000184033,CTAG1B,180,2
ENSG00000184033,CTAG1A/B,ENSG00000268651,CTAG1A,180,2
ENSG00000104827,CGB3/5/8,ENSG00000104827,CGB3,165,3
ENSG00000104827,CGB3/5/8,ENSG00000189052,CGB5,165,3
ENSG00000104827,CGB3/5/8,ENSG00000213030,CGB8,165,3
ENSG00000271567,PPIAL4E/F,ENSG00000271567,PPIAL4E,164,2
ENSG00000271567,PPIAL4E/F,ENSG00000279782,PPIAL4F,164,2
ENSG00000171478,SPACA5/SPACA5B,ENSG00000171478,SPACA5B,159,2
ENSG00000171478,SPACA5/SPACA5B,ENSG00000171489,SPACA5,159,2
ENSG00000229972,IQCF3,ENSG00000229972,IQCF3,154,2
ENSG00000229972,IQCF3,ENSG00000285749,,154,2
ENSG00000160014,CALM1/3,ENSG00000160014,CALM3,149,2
ENSG00000160014,CALM1/3,ENSG00000198668,CALM1,149,2
ENSG00000188536,HBA1/2,ENSG00000188536,HBA2,142,2
ENSG00000188536,HBA1/2,ENSG00000206172,HBA1,142,2
ENSG00000178934,LGALS7/LGALS7B,ENSG00000178934,LGALS7B,136,2
ENSG00000178934,LGALS7/LGALS7B,ENSG00000205076,LGALS7,136,2
ENSG00000183598,H3C13/4/5,ENSG00000183598,H3C13,136,3
ENSG00000183598,H3C13/4/5,ENSG00000203811,H3C14,136,3
ENSG00000183598,H3C13/4/5,ENSG00000203852,H3C15,136,3
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000197153,H3C12,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000197409,H3C4,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000273983,H3C8,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000274750,H3C6,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000275379,H3C11,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000275714,H3C1,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000277775,H3C7,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000278828,H3C10,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000286522,H3C2,136,10
ENSG00000197153,H3C1/2/3/4/6/7/8/10/11/12,ENSG00000287080,H3C3,136,10
ENSG00000205456,TP53TG3B/C/D,ENSG00000205456,TP53TG3D,132,3
ENSG00000205456,TP53TG3B/C/D,ENSG00000205457,TP53TG3C,132,3
ENSG00000205456,TP53TG3B/C/D,ENSG00000261509,TP53TG3B,132,3
ENSG00000196747,H2AC11/3/5/6/7,ENSG00000196747,H2AC13,130,5
ENSG00000196747,H2AC11/3/5/6/7,ENSG00000196787,H2AC11,130,5
ENSG00000196747,H2AC11/3/5/6/7,ENSG00000275221,H2AC15,130,5
ENSG00000196747,H2AC11/3/5/6/7,ENSG00000276903,H2AC16,130,5
ENSG00000196747,H2AC11/3/5/6/7,ENSG00000278677,H2AC17,130,5
ENSG00000277075,H2AC4/8,ENSG00000277075,H2AC8,130,2
ENSG00000277075,H2AC4/8,ENSG00000278463,H2AC4,130,2
ENSG00000288825,H2AC18/9,ENSG00000288825,H2AC18,130,2
ENSG00000288825,H2AC18/9,ENSG00000288859,H2AC19,130,2
ENSG00000212724,KRTAP2-3/4,ENSG00000212724,KRTAP2-3,128,2
ENSG00000212724,KRTAP2-3/4,ENSG00000213417,KRTAP2-4,128,2
ENSG00000240747,KRBOX1,ENSG00000240747,KRBOX1,128,2
ENSG00000240747,KRBOX1,ENSG00000290317,,128,2
ENSG00000100028,SNRPD3,ENSG00000100028,SNRPD3,126,2
ENSG00000100028,SNRPD3,ENSG00000286070,,126,2
ENSG00000180596,H2BC4/6/7/8/10,ENSG00000180596,H2BC4,126,5
ENSG00000180596,H2BC4/6/7/8/10,ENSG00000273802,H2BC8,126,5
ENSG00000180596,H2BC4/6/7/8/10,ENSG00000274290,H2BC6,126,5
ENSG00000180596,H2BC4/6/7/8/10,ENSG00000277224,H2BC7,126,5
ENSG00000180596,H2BC4/6/7/8/10,ENSG00000278588,H2BC10,126,5
ENSG00000129862,VCY/VCY1B,ENSG00000129862,VCY1B,125,2
ENSG00000129862,VCY/VCY1B,ENSG00000129864,VCY,125,2
ENSG00000275034,TP53TG3E/F,ENSG00000275034,TP53TG3E,124,3
ENSG00000275034,TP53TG3E/F,ENSG00000275869,,124,3
ENSG00000275034,TP53TG3E/F,ENSG00000278848,TP53TG3F,124,3
ENSG00000257949,TEN1/TEN1-CDK3,ENSG00000257949,TEN1,123,2
ENSG00000257949,TEN1/TEN1-CDK3,ENSG00000261408,TEN1-CDK3,123,2
ENSG00000163633,C4orf36,ENSG00000163633,C4orf36,117,2
ENSG00000163633,C4orf36,ENSG00000285458,C4orf36,117,2
ENSG00000215269,GAGE12F/G,ENSG00000215269,GAGE12G,117,2
ENSG00000215269,GAGE12F/G,ENSG00000236362,GAGE12F,117,2
ENSG00000216649,GAGE12C/D/E,ENSG00000216649,GAGE12E,117,3
ENSG00000216649,GAGE12C/D/E,ENSG00000227488,GAGE12D,117,3
ENSG00000216649,GAGE12C/D/E,ENSG00000237671,GAGE12C,117,3
ENSG00000277745,H2AB2/3,ENSG00000277745,H2AB3,115,2
ENSG00000277745,H2AB2/3,ENSG00000277858,H2AB2,115,2
ENSG00000167774,NDUFA7,ENSG00000167774,,113,2
ENSG00000167774,NDUFA7,ENSG00000267855,NDUFA7,113,2
ENSG00000275688,CCL15/CCL15-CCL14,ENSG00000275688,CCL15-CCL14,113,2
ENSG00000275688,CCL15/CCL15-CCL14,ENSG00000275718,CCL15,113,2
ENSG00000172058,SERF1A/B,ENSG00000172058,SERF1A,110,2
ENSG00000172058,SERF1A/B,ENSG00000205572,SERF1B,110,2
ENSG00000224440,CXorf51A/B,ENSG00000224440,CXorf51A,108,2
ENSG00000224440,CXorf51A/B,ENSG00000235699,CXorf51B,108,2
ENSG00000166275,BORCS7/BORCS7-ASMT,ENSG00000166275,BORCS7,106,2
ENSG00000166275,BORCS7/BORCS7-ASMT,ENSG00000270316,BORCS7-ASMT,106,2
ENSG00000183753,BPY2/BPY2B/BPY2C,ENSG00000183753,BPY2,106,3
ENSG00000183753,BPY2/BPY2B/BPY2C,ENSG00000183795,BPY2B,106,3
ENSG00000183753,BPY2/BPY2B/BPY2C,ENSG00000185894,BPY2C,106,3
ENSG00000132286,TIMM10B,ENSG00000132286,TIMM10B,103,2
ENSG00000132286,TIMM10B,ENSG00000283977,,103,2
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000158406,H4C8,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000197061,H4C3,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000197238,H4C11,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000197837,H4C16,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000270276,H4C15,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000270882,H4C14,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000273542,H4C12,103,14
