gene_id,hpa_gene_name,cancer,high,medium,low,not_detected,total,detected,medium_high,prevalence_detected,prevalence_medium_high,measurement_status,symbol
ENSG00000137869,CYP19A1,renal cancer,0,0,0,11,11,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,skin cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,stomach cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,testis cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,thyroid cancer,0,0,0,4,4,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,urothelial cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000169495,HTRA4,breast cancer,0,0,0,11,11,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,carcinoid,0,0,0,4,4,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,cervical cancer,0,0,0,11,11,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,colorectal cancer,0,0,1,10,11,1,0,0.09090909090909091,0.0,measured,HTRA4
ENSG00000169495,HTRA4,endometrial cancer,0,0,0,12,12,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,glioma,0,1,1,10,12,2,1,0.16666666666666666,0.08333333333333333,measured,HTRA4
ENSG00000169495,HTRA4,head and neck cancer,0,0,0,4,4,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,liver cancer,0,0,0,12,12,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,lung cancer,0,0,0,12,12,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,lymphoma,0,0,0,12,12,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,melanoma,0,0,4,8,12,4,0,0.3333333333333333,0.0,measured,HTRA4
ENSG00000169495,HTRA4,ovarian cancer,0,0,0,11,11,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,pancreatic cancer,0,0,0,9,9,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,prostate cancer,0,2,3,6,11,5,2,0.45454545454545453,0.18181818181818182,measured,HTRA4
ENSG00000169495,HTRA4,renal cancer,0,1,2,8,11,3,1,0.2727272727272727,0.09090909090909091,measured,HTRA4
ENSG00000169495,HTRA4,skin cancer,0,0,0,11,11,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,stomach cancer,0,0,0,11,11,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,testis cancer,0,0,0,12,12,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,thyroid cancer,0,0,0,4,4,0,0,0.0,0.0,measured,HTRA4
ENSG00000169495,HTRA4,urothelial cancer,0,0,0,12,12,0,0,0.0,0.0,measured,HTRA4
ENSG00000170498,KISS1,breast cancer,0,0,1,10,11,1,0,0.09090909090909091,0.0,measured,KISS1
ENSG00000170498,KISS1,carcinoid,0,0,0,4,4,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,cervical cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,colorectal cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,endometrial cancer,0,0,0,11,11,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,glioma,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,head and neck cancer,0,0,0,4,4,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,liver cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,lung cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,lymphoma,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,melanoma,0,0,0,11,11,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,ovarian cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,pancreatic cancer,0,0,0,10,10,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,prostate cancer,0,0,0,11,11,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,renal cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,skin cancer,0,0,0,11,11,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,stomach cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,testis cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,thyroid cancer,0,0,0,4,4,0,0,0.0,0.0,measured,KISS1
ENSG00000170498,KISS1,urothelial cancer,0,0,0,12,12,0,0,0.0,0.0,measured,KISS1
